dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,7,official,official[0→1],0.25,1.0,pruned,0.3,0.2333,0.6167,120,40,55,26.0,1.0
BCI-IV-2b,7,official,official[0→1],0.5,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,75.0
BCI-IV-2b,7,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,381.0
BCI-IV-2b,7,official,official[0→1],2.0,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,993.0
BCI-IV-2b,8,within,within_fold0,0.25,1.0,pruned,0.3,-0.1786,0.4107,56,48,58,28.0,1.75
BCI-IV-2b,8,within,within_fold0,0.5,1.0,pruned,0.3,-0.1786,0.4107,56,48,116,57.0,0.5
BCI-IV-2b,8,within,within_fold0,1.0,1.0,pruned,0.3,0.3571,0.6786,56,48,157,74.0,202.0
BCI-IV-2b,8,within,within_fold0,2.0,1.0,pruned,0.3,0.3571,0.6786,56,48,157,74.0,841.0
BCI-IV-2b,8,official,official[0→1],0.25,1.0,pruned,0.3,-0.15,0.425,120,64,66,31.0,0.0
BCI-IV-2b,8,official,official[0→1],0.5,1.0,pruned,0.3,-0.1833,0.4083,120,64,112,53.0,45.0
BCI-IV-2b,8,official,official[0→1],1.0,1.0,pruned,0.3,-0.1833,0.4083,120,64,112,53.0,393.0
BCI-IV-2b,8,official,official[0→1],2.0,1.0,pruned,0.3,-0.1833,0.4083,120,64,112,53.0,1089.0
BCI-IV-2b,9,within,within_fold0,0.25,1.0,pruned,0.3,0.25,0.625,48,94,53,19.0,0.5
BCI-IV-2b,9,within,within_fold0,0.5,1.0,pruned,0.3,0.25,0.625,48,94,104,42.0,0.0
BCI-IV-2b,9,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,94,134,60.0,194.0
BCI-IV-2b,9,within,within_fold0,2.0,1.0,pruned,0.3,0.0833,0.5417,48,94,134,60.0,740.0
BCI-IV-2b,9,official,official[0→1],0.25,1.0,pruned,0.3,-0.0167,0.4917,120,52,54,25.0,0.0
BCI-IV-2b,9,official,official[0→1],0.5,1.0,pruned,0.3,0.2167,0.6083,120,52,84,38.0,65.0
BCI-IV-2b,9,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,52,84,38.0,371.0
BCI-IV-2b,9,official,official[0→1],2.0,1.0,pruned,0.3,0.2167,0.6083,120,52,84,38.0,983.0
