dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,3,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.23632175081589568,0.6601307189542484,153,72,426,133.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.28657470371089955,0.6862745098039216,153,72,426,141.0,
WAUC,3,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.28657470371089955,0.6862745098039216,153,72,426,156.0,
WAUC,3,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.23632175081589568,0.6601307189542484,153,72,407,141.0,
WAUC,3,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.42029387302467425,0.7320261437908496,153,72,426,110.0,
WAUC,3,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.15752212389380527,0.6339869281045751,153,72,426,149.0,
WAUC,3,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.38851194348917184,0.7189542483660131,153,72,426,150.0,
WAUC,3,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.17523983554134315,0.6143790849673203,153,72,426,157.0,
WAUC,3,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.4135738992240815,0.7320261437908496,153,76,426,132.0,
WAUC,3,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.432808155699722,0.738562091503268,153,76,426,130.0,
WAUC,3,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.29506911087148313,0.6928104575163399,153,76,426,143.0,
WAUC,3,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,0.21931260229132565,0.6535947712418301,153,76,426,153.0,
WAUC,3,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,290,84.0,
WAUC,3,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,367,106.0,
WAUC,3,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,0.25838926174496646,0.6601307189542484,153,80,426,136.0,
WAUC,3,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.299149294194634,0.6797385620915033,153,80,426,144.0,
WAUC,4,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,0.34782608695652173,0.6739130434782609,184,94,513,163.0,
WAUC,4,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,94,513,176.0,
WAUC,4,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.07608695652173914,0.5380434782608695,184,94,513,192.0,
WAUC,4,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.14130434782608692,0.5706521739130435,184,94,513,173.0,
WAUC,4,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,100,513,186.0,
WAUC,4,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.4782608695652174,0.7391304347826086,184,100,513,162.0,
WAUC,4,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,100,513,181.0,
WAUC,4,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.11956521739130432,0.5597826086956522,184,100,513,197.0,
WAUC,4,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,349,128.0,
WAUC,4,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.18478260869565222,0.592391304347826,184,98,513,176.0,
WAUC,4,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,492,169.0,
WAUC,4,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,490,176.0,
