dataset,montage,subject,seed,n_channels,best_arm_kappa,best_arm_accuracy,best_arm_id,best_arm_spatial,n_arms_surviving,n_test,error
UAB,full,16,42,14,0.936152148072678,0.9574468085106383,6,identity,100,188,
UAB,nearear,1,0,2,0.5834499218171344,0.7225130890052356,12,csp,100,191,
UAB,nearear,1,1,2,0.4182342045688413,0.612565445026178,12,csp,100,191,
UAB,nearear,1,2,2,0.4751240720232969,0.6492146596858639,96,csp,100,191,
UAB,nearear,1,3,2,0.5210671270604679,0.680628272251309,84,csp,100,191,
UAB,nearear,1,42,2,0.4650080322939407,0.643979057591623,84,csp,100,191,
UAB,nearear,2,0,2,0.4503855605457164,0.6329787234042553,0,csp,100,188,
UAB,nearear,2,1,2,0.4016549968173138,0.601063829787234,0,csp,100,188,
UAB,nearear,2,2,2,0.3637363567137659,0.574468085106383,0,csp,100,188,
UAB,nearear,2,3,2,0.4580295065287434,0.6382978723404256,0,csp,100,188,
UAB,nearear,2,42,2,0.32996732996733,0.5531914893617021,0,csp,100,188,
UAB,nearear,3,0,2,0.6503090702661789,0.7671957671957672,72,csp,100,189,
UAB,nearear,3,1,2,0.4923619271445358,0.6613756613756614,42,identity,100,189,
UAB,nearear,3,2,2,0.4758383057399781,0.6507936507936508,74,csp,100,189,
UAB,nearear,3,3,2,0.5789761264290518,0.7195767195767195,66,identity,100,189,
UAB,nearear,3,42,2,0.5709240729841083,0.7142857142857143,72,csp,98,189,
UAB,nearear,4,0,2,0.4975695274523867,0.6649484536082474,24,csp,100,194,
UAB,nearear,4,1,2,0.4973291875946742,0.6649484536082474,36,csp,100,194,
UAB,nearear,4,2,2,0.4825224938291265,0.654639175257732,12,csp,100,194,
UAB,nearear,4,3,2,0.4888214627914403,0.6597938144329897,72,csp,100,194,
UAB,nearear,4,42,2,0.4893515195022733,0.6597938144329897,72,csp,100,194,
UAB,nearear,5,0,2,0.2279326843755156,0.4869109947643979,49,csp,90,191,
UAB,nearear,5,1,2,0.4264972030273116,0.6178010471204188,60,csp,98,191,
UAB,nearear,5,2,2,0.4049356399114536,0.6020942408376964,54,identity,100,191,
UAB,nearear,5,3,2,0.3236989459815547,0.5497382198952879,78,identity,100,191,
UAB,nearear,5,42,2,0.3075718876163796,0.5392670157068062,66,identity,98,191,
UAB,nearear,6,0,2,0.3409448818897638,0.5645161290322581,74,csp,98,186,
UAB,nearear,6,1,2,0.2860654677189804,0.521505376344086,42,identity,100,186,
UAB,nearear,6,2,2,0.3700787401574803,0.5698924731182796,72,csp,100,186,
UAB,nearear,6,3,2,0.3561193637439201,0.5752688172043011,72,csp,100,186,
UAB,nearear,6,42,2,0.3391235688906435,0.5645161290322581,74,csp,90,186,
UAB,nearear,7,0,2,0.2528533801580334,0.5027027027027027,54,identity,82,185,
UAB,nearear,7,1,2,0.1557330290929834,0.4378378378378378,48,csp,94,185,
UAB,nearear,7,2,2,0.1488103062968317,0.4324324324324324,48,csp,90,185,
UAB,nearear,7,3,2,0.1968162083936324,0.4648648648648649,96,csp,92,185,
UAB,nearear,7,42,2,0.2699289660615627,0.5135135135135135,42,identity,100,185,
UAB,nearear,8,0,2,0.4108816383200278,0.6075268817204301,0,csp,86,186,
UAB,nearear,8,1,2,0.387760405387847,0.5913978494623656,6,identity,90,186,
