dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,n_channels,n_trials_total
Cho2017-3ch,12,within,within_fold0,42,0.5,0.3,50,0.15,0.575,40,46,112,3,200
Cho2017-3ch,13,within,within_fold0,0,0.5,0.3,50,0.35,0.675,40,22,112,3,200
Cho2017-3ch,13,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,48,112,3,200
Cho2017-3ch,13,within,within_fold0,2,0.5,0.3,50,0.05,0.525,40,40,112,3,200
Cho2017-3ch,13,within,within_fold0,3,0.5,0.3,50,-0.1,0.45,40,36,112,3,200
Cho2017-3ch,13,within,within_fold0,42,0.5,0.3,50,-0.1999999999999999,0.4,40,54,112,3,200
Cho2017-3ch,14,within,within_fold0,0,0.5,0.3,50,0.6,0.8,40,38,112,3,200
Cho2017-3ch,14,within,within_fold0,1,0.5,0.3,50,0.75,0.875,40,42,112,3,200
Cho2017-3ch,14,within,within_fold0,2,0.5,0.3,50,0.75,0.875,40,70,112,3,200
Cho2017-3ch,14,within,within_fold0,3,0.5,0.3,50,0.5,0.75,40,62,112,3,200
Cho2017-3ch,14,within,within_fold0,42,0.5,0.3,50,0.5,0.75,40,72,112,3,200
Cho2017-3ch,15,within,within_fold0,0,0.5,0.3,50,-0.1,0.45,40,38,112,3,200
Cho2017-3ch,15,within,within_fold0,1,0.5,0.3,50,0.05,0.525,40,18,112,3,200
Cho2017-3ch,15,within,within_fold0,2,0.5,0.3,50,0.05,0.525,40,38,112,3,200
Cho2017-3ch,15,within,within_fold0,3,0.5,0.3,50,-0.1,0.45,40,48,112,3,200
Cho2017-3ch,15,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,42,112,3,200
Cho2017-3ch,16,within,within_fold0,0,0.5,0.3,50,0.15,0.575,40,40,112,3,200
Cho2017-3ch,16,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,46,112,3,200
Cho2017-3ch,16,within,within_fold0,2,0.5,0.3,50,0.05,0.525,40,48,112,3,200
Cho2017-3ch,16,within,within_fold0,3,0.5,0.3,50,-0.1499999999999999,0.425,40,46,112,3,200
Cho2017-3ch,16,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,46,112,3,200
Cho2017-3ch,17,within,within_fold0,0,0.5,0.3,50,-0.05,0.475,40,22,112,3,200
Cho2017-3ch,17,within,within_fold0,1,0.5,0.3,50,-0.05,0.475,40,28,112,3,200
Cho2017-3ch,17,within,within_fold0,2,0.5,0.3,50,0.15,0.575,40,38,112,3,200
Cho2017-3ch,17,within,within_fold0,3,0.5,0.3,50,-0.1,0.45,40,52,112,3,200
Cho2017-3ch,17,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,44,112,3,200
Cho2017-3ch,18,within,within_fold0,0,0.5,0.3,50,0.25,0.625,40,56,112,3,200
Cho2017-3ch,18,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,46,112,3,200
Cho2017-3ch,18,within,within_fold0,2,0.5,0.3,50,-0.1,0.45,40,38,112,3,200
Cho2017-3ch,18,within,within_fold0,3,0.5,0.3,50,0.1999999999999999,0.6,40,44,112,3,200
Cho2017-3ch,18,within,within_fold0,42,0.5,0.3,50,0.05,0.525,40,44,112,3,200
Cho2017-3ch,19,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,26,112,3,200
Cho2017-3ch,19,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,54,112,3,200
Cho2017-3ch,19,within,within_fold0,2,0.5,0.3,50,-0.05,0.475,40,40,112,3,200
Cho2017-3ch,19,within,within_fold0,3,0.5,0.3,50,0.3,0.65,40,74,112,3,200
Cho2017-3ch,19,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,62,112,3,200
Cho2017-3ch,20,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,36,112,3,200
Cho2017-3ch,20,within,within_fold0,1,0.5,0.3,50,-0.05,0.475,40,36,112,3,200
Cho2017-3ch,20,within,within_fold0,2,0.5,0.3,50,-0.05,0.475,40,46,112,3,200
Cho2017-3ch,20,within,within_fold0,3,0.5,0.3,50,-0.25,0.375,40,66,112,3,200
Cho2017-3ch,20,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,58,112,3,200
Cho2017-3ch,21,within,within_fold0,0,0.5,0.3,50,0.0999999999999999,0.55,40,34,112,3,200
Cho2017-3ch,21,within,within_fold0,1,0.5,0.3,50,0.1999999999999999,0.6,40,50,112,3,200
Cho2017-3ch,21,within,within_fold0,2,0.5,0.3,50,0.25,0.625,40,60,112,3,200
Cho2017-3ch,21,within,within_fold0,3,0.5,0.3,50,-0.1499999999999999,0.425,40,60,112,3,200
Cho2017-3ch,21,within,within_fold0,42,0.5,0.3,50,0.4,0.7,40,48,112,3,200
Cho2017-3ch,22,within,within_fold0,0,0.5,0.3,50,-0.1499999999999999,0.425,40,42,112,3,200
Cho2017-3ch,22,within,within_fold0,1,0.5,0.3,50,-0.1499999999999999,0.425,40,32,112,3,200
Cho2017-3ch,22,within,within_fold0,2,0.5,0.3,50,0.15,0.575,40,48,112,3,200
Cho2017-3ch,22,within,within_fold0,3,0.5,0.3,50,0.0,0.5,40,54,112,3,200
Cho2017-3ch,22,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,56,112,3,200
Cho2017-3ch,23,within,within_fold0,0,0.5,0.3,50,0.5,0.75,40,36,112,3,200
Cho2017-3ch,23,within,within_fold0,1,0.5,0.3,50,-0.1,0.45,40,42,112,3,200
Cho2017-3ch,23,within,within_fold0,2,0.5,0.3,50,0.6,0.8,40,60,112,3,200
Cho2017-3ch,23,within,within_fold0,3,0.5,0.3,50,0.7,0.85,40,52,112,3,200
Cho2017-3ch,23,within,within_fold0,42,0.5,0.3,50,0.55,0.775,40,56,112,3,200
Cho2017-3ch,24,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,24,112,3,200
Cho2017-3ch,24,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,48,112,3,200
Cho2017-3ch,24,within,within_fold0,2,0.5,0.3,50,-0.05,0.475,40,44,112,3,200
Cho2017-3ch,24,within,within_fold0,3,0.5,0.3,50,-0.1,0.45,40,52,112,3,200
Cho2017-3ch,24,within,within_fold0,42,0.5,0.3,50,0.05,0.525,40,56,112,3,200
Cho2017-3ch,25,within,within_fold0,0,0.5,0.3,50,0.1999999999999999,0.6,40,34,112,3,200
Cho2017-3ch,25,within,within_fold0,1,0.5,0.3,50,0.1999999999999999,0.6,40,60,112,3,200
Cho2017-3ch,25,within,within_fold0,2,0.5,0.3,50,0.0999999999999999,0.55,40,50,112,3,200
Cho2017-3ch,25,within,within_fold0,3,0.5,0.3,50,0.0,0.5,40,50,112,3,200
Cho2017-3ch,25,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,58,112,3,200
Cho2017-3ch,26,within,within_fold0,0,0.5,0.3,50,-0.05,0.475,40,22,112,3,200
Cho2017-3ch,26,within,within_fold0,1,0.5,0.3,50,0.0999999999999999,0.55,40,30,112,3,200
Cho2017-3ch,26,within,within_fold0,2,0.5,0.3,50,0.35,0.675,40,46,112,3,200
Cho2017-3ch,26,within,within_fold0,3,0.5,0.3,50,-0.1,0.45,40,58,112,3,200
Cho2017-3ch,26,within,within_fold0,42,0.5,0.3,50,-0.05,0.475,40,42,112,3,200
Cho2017-3ch,27,within,within_fold0,0,0.5,0.3,50,-0.1,0.45,40,40,112,3,200
Cho2017-3ch,27,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,22,112,3,200
Cho2017-3ch,27,within,within_fold0,2,0.5,0.3,50,0.05,0.525,40,32,112,3,200
Cho2017-3ch,27,within,within_fold0,3,0.5,0.3,50,-0.25,0.375,40,12,112,3,200
Cho2017-3ch,27,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,44,112,3,200
Cho2017-3ch,28,within,within_fold0,0,0.5,0.3,50,-0.1,0.45,40,28,112,3,200
Cho2017-3ch,28,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,28,112,3,200
Cho2017-3ch,28,within,within_fold0,2,0.5,0.3,50,0.0999999999999999,0.55,40,38,112,3,200
Cho2017-3ch,28,within,within_fold0,3,0.5,0.3,50,-0.05,0.475,40,48,112,3,200
Cho2017-3ch,28,within,within_fold0,42,0.5,0.3,50,-0.05,0.475,40,44,112,3,200
Cho2017-3ch,30,within,within_fold0,0,0.5,0.3,50,-0.1,0.45,40,12,112,3,200
Cho2017-3ch,30,within,within_fold0,1,0.5,0.3,50,0.0,0.5,40,46,112,3,200
Cho2017-3ch,30,within,within_fold0,2,0.5,0.3,50,0.0,0.5,40,52,112,3,200
Cho2017-3ch,30,within,within_fold0,3,0.5,0.3,50,-0.05,0.475,40,48,112,3,200
Cho2017-3ch,30,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,56,112,3,200
Cho2017-3ch,31,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,32,112,3,200
Cho2017-3ch,31,within,within_fold0,1,0.5,0.3,50,-0.05,0.475,40,30,112,3,200
Cho2017-3ch,31,within,within_fold0,2,0.5,0.3,50,0.1999999999999999,0.6,40,52,112,3,200
Cho2017-3ch,31,within,within_fold0,3,0.5,0.3,50,0.0999999999999999,0.55,40,52,112,3,200
Cho2017-3ch,31,within,within_fold0,42,0.5,0.3,50,0.0999999999999999,0.55,40,48,112,3,200
Cho2017-3ch,32,within,within_fold0,0,0.5,0.3,50,0.05,0.525,40,40,112,3,200
Cho2017-3ch,32,within,within_fold0,1,0.5,0.3,50,0.05,0.525,40,50,112,3,200
Cho2017-3ch,32,within,within_fold0,2,0.5,0.3,50,0.3,0.65,40,50,112,3,200
Cho2017-3ch,32,within,within_fold0,3,0.5,0.3,50,0.05,0.525,40,50,112,3,200
