dataset,method,montage,protocol,subject,seed,kappa,accuracy,n_train,n_test,n_channels,y_true_seq,y_pred_seq,error
BCI-IV-2b,eegnet,full,within,5,42,0.038461538461538436,0.5192307692307693,208,52,3,,,
BCI-IV-2b,eegnet,full,within,5,42,0.11538461538461542,0.5576923076923077,208,52,3,,,
BCI-IV-2b,eegnet,full,official,5,42,0.11428571428571432,0.5571428571428572,120,140,3,,,
BCI-IV-2b,eegnet,full,within,6,7,0.5,0.75,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,7,0.45833333333333337,0.7291666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,7,0.5,0.75,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,7,0.41666666666666663,0.7083333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,7,0.625,0.8125,192,48,3,,,
BCI-IV-2b,eegnet,full,official,6,7,0.23333333333333328,0.6166666666666667,120,120,3,,,
BCI-IV-2b,eegnet,full,within,6,42,0.41666666666666663,0.7083333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,42,0.41666666666666663,0.7083333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,42,0.29166666666666663,0.6458333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,42,0.20833333333333337,0.6041666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,6,42,0.625,0.8125,192,48,3,,,
BCI-IV-2b,eegnet,full,official,6,42,0.19999999999999996,0.6,120,120,3,,,
BCI-IV-2b,eegnet,full,within,7,7,0.25,0.625,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,7,0.5416666666666667,0.7708333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,7,0.41666666666666663,0.7083333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,7,0.20833333333333337,0.6041666666666666,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,7,0.25,0.625,192,48,3,,,
BCI-IV-2b,eegnet,full,official,7,7,0.30000000000000004,0.65,120,120,3,,,
BCI-IV-2b,eegnet,full,within,7,42,0.5,0.75,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,42,0.5416666666666667,0.7708333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,42,0.29166666666666663,0.6458333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,42,0.04166666666666663,0.5208333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,within,7,42,0.29166666666666663,0.6458333333333334,192,48,3,,,
BCI-IV-2b,eegnet,full,official,7,42,0.2666666666666667,0.6333333333333333,120,120,3,,,
BCI-IV-2b,eegnet,full,within,8,7,0.4285714285714286,0.7142857142857143,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,7,0.2857142857142857,0.6428571428571429,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,7,0.1428571428571429,0.5714285714285714,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,7,0.1785714285714286,0.5892857142857143,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,7,0.1785714285714286,0.5892857142857143,224,56,3,,,
BCI-IV-2b,eegnet,full,official,8,7,0.0,0.5,160,120,3,,,
BCI-IV-2b,eegnet,full,within,8,42,0.5357142857142857,0.7678571428571429,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,42,0.1785714285714286,0.5892857142857143,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,42,0.2142857142857143,0.6071428571428571,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,42,0.1785714285714286,0.5892857142857143,224,56,3,,,
BCI-IV-2b,eegnet,full,within,8,42,-0.0714285714285714,0.4642857142857143,224,56,3,,,
