dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,n_channels,n_trials_total
Cho2017-full,12,within,within_fold0,42,0.5,0.3,50,-0.25,0.375,40,39,112,64,200
Cho2017-full,13,within,within_fold0,0,0.5,0.3,50,0.15000000000000002,0.575,40,28,112,64,200
Cho2017-full,13,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,42,112,64,200
Cho2017-full,13,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,34,112,64,200
Cho2017-full,13,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,42,112,64,200
Cho2017-full,13,within,within_fold0,42,0.5,0.3,50,-0.050000000000000044,0.475,40,36,112,64,200
Cho2017-full,14,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,30,112,64,200
Cho2017-full,14,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,24,112,64,200
Cho2017-full,14,within,within_fold0,2,0.5,0.3,50,-0.25,0.375,40,50,112,64,200
Cho2017-full,14,within,within_fold0,3,0.5,0.3,50,0.35,0.675,40,44,112,64,200
Cho2017-full,14,within,within_fold0,42,0.5,0.3,50,0.19999999999999996,0.6,40,46,112,64,200
Cho2017-full,15,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,22,112,64,200
Cho2017-full,15,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,14,112,64,200
Cho2017-full,15,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,34,112,64,200
Cho2017-full,15,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,44,112,64,200
Cho2017-full,15,within,within_fold0,42,0.5,0.3,50,0.09999999999999998,0.55,40,22,112,64,200
Cho2017-full,16,within,within_fold0,0,0.5,0.3,50,0.050000000000000044,0.525,40,32,112,64,200
Cho2017-full,16,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,28,112,64,200
Cho2017-full,16,within,within_fold0,2,0.5,0.3,50,0.25,0.625,40,36,112,64,200
Cho2017-full,16,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,40,112,64,200
Cho2017-full,16,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,32,112,64,200
Cho2017-full,17,within,within_fold0,0,0.5,0.3,50,0.09999999999999998,0.55,40,10,112,64,200
Cho2017-full,17,within,within_fold0,1,0.5,0.3,50,-0.10000000000000009,0.45,40,34,112,64,200
Cho2017-full,17,within,within_fold0,2,0.5,0.3,50,-0.30000000000000004,0.35,40,32,112,64,200
Cho2017-full,17,within,within_fold0,3,0.5,0.3,50,0.19999999999999996,0.6,40,48,112,64,200
Cho2017-full,17,within,within_fold0,42,0.5,0.3,50,0.050000000000000044,0.525,40,38,112,64,200
Cho2017-full,18,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,18,112,64,200
Cho2017-full,18,within,within_fold0,1,0.5,0.3,50,0.30000000000000004,0.65,40,28,112,64,200
Cho2017-full,18,within,within_fold0,2,0.5,0.3,50,-0.1499999999999999,0.425,40,46,112,64,200
Cho2017-full,18,within,within_fold0,3,0.5,0.3,50,-0.050000000000000044,0.475,40,30,112,64,200
Cho2017-full,18,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,12,112,64,200
Cho2017-full,19,within,within_fold0,0,0.5,0.3,50,0.19999999999999996,0.6,40,20,112,64,200
Cho2017-full,19,within,within_fold0,1,0.5,0.3,50,-0.10000000000000009,0.45,40,28,112,64,200
Cho2017-full,19,within,within_fold0,2,0.5,0.3,50,0.15000000000000002,0.575,40,46,112,64,200
Cho2017-full,19,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,52,112,64,200
Cho2017-full,19,within,within_fold0,42,0.5,0.3,50,-0.19999999999999996,0.4,40,22,112,64,200
Cho2017-full,20,within,within_fold0,0,0.5,0.3,50,-0.30000000000000004,0.35,40,26,112,64,200
Cho2017-full,20,within,within_fold0,1,0.5,0.3,50,0.25,0.625,40,28,112,64,200
Cho2017-full,20,within,within_fold0,2,0.5,0.3,50,0.09999999999999998,0.55,40,46,112,64,200
Cho2017-full,20,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,44,112,64,200
Cho2017-full,20,within,within_fold0,42,0.5,0.3,50,-0.3999999999999999,0.3,40,36,112,64,200
Cho2017-full,21,within,within_fold0,0,0.5,0.3,50,-0.10000000000000009,0.45,40,32,112,64,200
Cho2017-full,21,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,44,112,64,200
Cho2017-full,21,within,within_fold0,2,0.5,0.3,50,0.19999999999999996,0.6,40,46,112,64,200
Cho2017-full,21,within,within_fold0,3,0.5,0.3,50,-0.19999999999999996,0.4,40,42,112,64,200
Cho2017-full,21,within,within_fold0,42,0.5,0.3,50,-0.10000000000000009,0.45,40,30,112,64,200
Cho2017-full,22,within,within_fold0,0,0.5,0.3,50,-0.10000000000000009,0.45,40,24,112,64,200
Cho2017-full,22,within,within_fold0,1,0.5,0.3,50,0.19999999999999996,0.6,40,32,112,64,200
Cho2017-full,22,within,within_fold0,2,0.5,0.3,50,-0.19999999999999996,0.4,40,42,112,64,200
Cho2017-full,22,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,36,112,64,200
Cho2017-full,22,within,within_fold0,42,0.5,0.3,50,0.09999999999999998,0.55,40,34,112,64,200
Cho2017-full,23,within,within_fold0,0,0.5,0.3,50,0.35,0.675,40,18,112,64,200
Cho2017-full,23,within,within_fold0,1,0.5,0.3,50,0.15000000000000002,0.575,40,36,112,64,200
Cho2017-full,23,within,within_fold0,2,0.5,0.3,50,0.4,0.7,40,48,112,64,200
Cho2017-full,23,within,within_fold0,3,0.5,0.3,50,0.25,0.625,40,46,112,64,200
Cho2017-full,23,within,within_fold0,42,0.5,0.3,50,0.55,0.775,40,32,112,64,200
Cho2017-full,24,within,within_fold0,0,0.5,0.3,50,0.09999999999999998,0.55,40,18,112,64,200
Cho2017-full,24,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,42,112,64,200
Cho2017-full,24,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,38,112,64,200
Cho2017-full,24,within,within_fold0,3,0.5,0.3,50,0.15000000000000002,0.575,40,30,112,64,200
Cho2017-full,24,within,within_fold0,42,0.5,0.3,50,0.09999999999999998,0.55,40,30,112,64,200
Cho2017-full,25,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,24,112,64,200
Cho2017-full,25,within,within_fold0,1,0.5,0.3,50,0.15000000000000002,0.575,40,26,112,64,200
Cho2017-full,25,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,34,32,64,200
Cho2017-full,25,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,36,112,64,200
Cho2017-full,25,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,24,112,64,200
Cho2017-full,26,within,within_fold0,0,0.5,0.3,50,0.0,0.5,40,36,112,64,200
Cho2017-full,26,within,within_fold0,1,0.5,0.3,50,0.5,0.75,40,28,112,64,200
Cho2017-full,26,within,within_fold0,2,0.5,0.3,50,-0.1499999999999999,0.425,40,54,112,64,200
Cho2017-full,26,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,26,112,64,200
Cho2017-full,26,within,within_fold0,42,0.5,0.3,50,0.30000000000000004,0.65,40,34,112,64,200
Cho2017-full,27,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,30,112,64,200
Cho2017-full,27,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,24,112,64,200
Cho2017-full,27,within,within_fold0,2,0.5,0.3,50,0.25,0.625,40,38,112,64,200
Cho2017-full,27,within,within_fold0,3,0.5,0.3,50,-0.050000000000000044,0.475,40,30,112,64,200
Cho2017-full,27,within,within_fold0,42,0.5,0.3,50,0.30000000000000004,0.65,40,26,112,64,200
Cho2017-full,28,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,30,112,64,200
Cho2017-full,28,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,22,112,64,200
Cho2017-full,28,within,within_fold0,2,0.5,0.3,50,0.09999999999999998,0.55,40,28,112,64,200
Cho2017-full,28,within,within_fold0,3,0.5,0.3,50,-0.30000000000000004,0.35,40,44,112,64,200
Cho2017-full,28,within,within_fold0,42,0.5,0.3,50,0.09999999999999998,0.55,40,46,112,64,200
Cho2017-full,30,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,14,112,64,200
Cho2017-full,30,within,within_fold0,1,0.5,0.3,50,0.19999999999999996,0.6,40,36,112,64,200
Cho2017-full,30,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,46,112,64,200
Cho2017-full,30,within,within_fold0,3,0.5,0.3,50,-0.10000000000000009,0.45,40,48,112,64,200
Cho2017-full,30,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,32,112,64,200
Cho2017-full,31,within,within_fold0,0,0.5,0.3,50,0.050000000000000044,0.525,40,26,112,64,200
Cho2017-full,31,within,within_fold0,1,0.5,0.3,50,-0.050000000000000044,0.475,40,44,112,64,200
Cho2017-full,31,within,within_fold0,2,0.5,0.3,50,0.19999999999999996,0.6,40,44,17,64,200
Cho2017-full,31,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,40,112,64,200
Cho2017-full,31,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,22,112,64,200
Cho2017-full,32,within,within_fold0,0,0.5,0.3,50,-0.10000000000000009,0.45,40,18,112,64,200
Cho2017-full,32,within,within_fold0,1,0.5,0.3,50,0.09999999999999998,0.55,40,42,112,64,200
Cho2017-full,32,within,within_fold0,2,0.5,0.3,50,-0.10000000000000009,0.45,40,32,112,64,200
Cho2017-full,32,within,within_fold0,3,0.5,0.3,50,0.0,0.5,40,32,17,64,200
Cho2017-full,32,within,within_fold0,42,0.5,0.3,50,-0.1499999999999999,0.425,40,24,112,64,200
Cho2017-full,34,within,within_fold0,0,0.5,0.3,50,-0.050000000000000044,0.475,40,20,112,64,200
Cho2017-full,34,within,within_fold0,1,0.5,0.3,50,0.050000000000000044,0.525,40,28,112,64,200
Cho2017-full,34,within,within_fold0,2,0.5,0.3,50,-0.3500000000000001,0.325,40,46,112,64,200
Cho2017-full,34,within,within_fold0,3,0.5,0.3,50,0.09999999999999998,0.55,40,44,112,64,200
Cho2017-full,34,within,within_fold0,42,0.5,0.3,50,0.0,0.5,40,34,112,64,200
Cho2017-full,35,within,within_fold0,0,0.5,0.3,50,0.09999999999999998,0.55,40,44,112,64,200
Cho2017-full,35,within,within_fold0,1,0.5,0.3,50,0.44999999999999996,0.725,40,46,112,64,200
