dataset,montage,subject,protocol,seed,alpha,calibration_frac,window_size,n_components,n_channels,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
COGBCI,full,11,within,42,0.5,0.3,50,4,62,workload,0.9490060501296456,0.9661016949152542,59,92,135,15.0,
COGBCI,full,12,within,0,0.5,0.3,50,4,62,workload,0.6452173913043479,0.7647058823529411,51,100,140,31.0,
COGBCI,full,12,within,1,0.5,0.3,50,4,62,workload,0.5345122646891044,0.6862745098039216,51,77,140,36.0,
COGBCI,full,12,within,2,0.5,0.3,50,4,62,workload,0.5020103388856979,0.6666666666666666,51,81,140,44.0,
COGBCI,full,12,within,3,0.5,0.3,50,4,62,workload,0.7065592635212888,0.803921568627451,51,99,17,7.0,
COGBCI,full,12,within,42,0.5,0.3,50,4,62,workload,0.5908309455587393,0.7254901960784313,51,93,140,35.0,
COGBCI,full,13,within,0,0.5,0.3,50,4,62,workload,0.9411764705882352,0.9607843137254902,51,100,19,2.0,
COGBCI,full,13,within,1,0.5,0.3,50,4,62,workload,0.9411764705882352,0.9607843137254902,51,100,33,3.0,
COGBCI,full,13,within,2,0.5,0.3,50,4,62,workload,1.0,1.0,51,100,19,2.0,
COGBCI,full,13,within,3,0.5,0.3,50,4,62,workload,0.9705882352941176,0.9803921568627452,51,100,19,2.0,
COGBCI,full,13,within,42,0.5,0.3,50,4,62,workload,0.9705882352941176,0.9803921568627452,51,100,142,27.0,
COGBCI,full,14,within,0,0.5,0.3,50,4,62,workload,0.3837744533947065,0.5882352941176471,51,95,140,44.0,
COGBCI,full,14,within,1,0.5,0.3,50,4,62,workload,0.7640254482359745,0.8431372549019608,51,100,140,43.0,
COGBCI,full,14,within,2,0.5,0.3,50,4,62,workload,0.4730195177956372,0.6470588235294118,51,100,140,38.0,
COGBCI,full,14,within,3,0.5,0.3,50,4,62,workload,0.6456282570932252,0.7647058823529411,51,84,140,35.0,
COGBCI,full,14,within,42,0.5,0.3,50,4,62,workload,0.588472622478386,0.7254901960784313,51,78,140,39.0,
COGBCI,full,15,within,0,0.5,0.3,50,4,62,workload,0.6660595021250759,0.78,50,95,57,17.0,
COGBCI,full,15,within,1,0.5,0.3,50,4,62,workload,0.8213222156045266,0.88,50,78,138,32.0,
COGBCI,full,15,within,2,0.5,0.3,50,4,62,workload,0.7267759562841529,0.82,50,85,138,43.0,
COGBCI,full,15,within,3,0.5,0.3,50,4,62,workload,0.3570116350275566,0.58,50,70,138,29.0,
COGBCI,full,15,within,42,0.5,0.3,50,4,62,workload,0.8494882600842866,0.9,50,80,57,12.0,
COGBCI,full,16,within,0,0.5,0.3,50,4,62,workload,0.93875,0.9591836734693876,49,99,12,0.0,
COGBCI,full,16,within,1,0.5,0.3,50,4,62,workload,0.663125,0.7755102040816326,49,90,137,23.0,
COGBCI,full,16,within,2,0.5,0.3,50,4,62,workload,0.908125,0.9387755102040816,49,91,137,12.0,
COGBCI,full,16,within,3,0.5,0.3,50,4,62,workload,0.5717852684144819,0.7142857142857143,49,80,137,17.0,
COGBCI,full,16,within,42,0.5,0.3,50,4,62,workload,0.8775,0.9183673469387756,49,100,26,3.0,
COGBCI,full,17,within,0,0.5,0.3,50,4,62,workload,0.448405253283302,0.6326530612244898,49,79,137,28.0,
COGBCI,full,17,within,1,0.5,0.3,50,4,62,workload,1.0,1.0,49,100,137,29.0,
COGBCI,full,17,within,2,0.5,0.3,50,4,62,workload,0.7846829880728186,0.8571428571428571,49,100,41,8.0,
COGBCI,full,17,within,3,0.5,0.3,50,4,62,workload,0.8771929824561403,0.9183673469387756,49,85,137,21.0,
COGBCI,full,17,within,42,0.5,0.3,50,4,62,workload,0.8463949843260188,0.8979591836734694,49,100,41,8.0,
COGBCI,full,18,within,0,0.5,0.3,50,4,62,workload,0.7977777777777777,0.8653846153846154,52,100,35,6.0,
COGBCI,full,18,within,1,0.5,0.3,50,4,62,workload,0.9422222222222222,0.9615384615384616,52,100,35,2.0,
COGBCI,full,18,within,2,0.5,0.3,50,4,62,workload,0.8553948832035595,0.903846153846154,52,100,143,23.0,
COGBCI,full,18,within,3,0.5,0.3,50,4,62,workload,0.7688888888888888,0.8461538461538461,52,100,143,31.0,
COGBCI,full,18,within,42,0.5,0.3,50,4,62,workload,0.8844444444444445,0.9230769230769232,52,100,35,2.0,
COGBCI,full,19,within,0,0.5,0.3,50,4,62,workload,0.97000599880024,0.98,50,100,29,0.0,
COGBCI,full,19,within,1,0.5,0.3,50,4,62,workload,0.9399759903961584,0.96,50,100,15,0.0,
