cell,spatial_filters,subject,protocol,seed,kappa,accuracy,n_test,n_arms_surviving,n_arms_total,stream_rounds_run,status
full,csp;laplacian;identity,6,within,2,0.16666666666666663,0.5833333333333334,48,80,162,134,ok
full,csp;laplacian;identity,6,within,3,0.125,0.5625,48,64,162,134,ok
full,csp;laplacian;identity,6,within,42,-0.08333333333333326,0.4583333333333333,48,70,162,134,ok
full,csp;laplacian;identity,6,official,0,0.08333333333333337,0.5416666666666666,120,80,162,84,ok
full,csp;laplacian;identity,6,official,1,-0.050000000000000044,0.475,120,72,162,84,ok
full,csp;laplacian;identity,6,official,2,0.4,0.7,120,78,162,84,ok
full,csp;laplacian;identity,6,official,3,0.21666666666666667,0.6083333333333333,120,80,162,84,ok
full,csp;laplacian;identity,6,official,42,0.09999999999999998,0.55,120,72,162,84,ok
full,csp;laplacian;identity,7,within,0,0.33333333333333337,0.6666666666666666,48,88,162,134,ok
full,csp;laplacian;identity,7,within,1,0.20833333333333337,0.6041666666666666,48,98,162,134,ok
full,csp;laplacian;identity,7,within,2,0.125,0.5625,48,62,162,134,ok
full,csp;laplacian;identity,7,within,3,0.33333333333333337,0.6666666666666666,48,52,162,134,ok
full,csp;laplacian;identity,7,within,42,0.04166666666666663,0.5208333333333334,48,98,162,134,ok
full,csp;laplacian;identity,7,official,0,0.1333333333333333,0.5666666666666667,120,100,162,84,ok
full,csp;laplacian;identity,7,official,1,0.1333333333333333,0.5666666666666667,120,96,162,84,ok
full,csp;laplacian;identity,7,official,2,0.33333333333333337,0.6666666666666666,120,47,162,84,ok
full,csp;laplacian;identity,7,official,3,0.033333333333333326,0.5166666666666667,120,62,162,84,ok
full,csp;laplacian;identity,7,official,42,0.23333333333333328,0.6166666666666667,120,40,162,84,ok
full,csp;laplacian;identity,8,within,0,0.1071428571428571,0.5535714285714286,56,44,162,157,ok
full,csp;laplacian;identity,8,within,1,0.0714285714285714,0.5357142857142857,56,56,162,157,ok
full,csp;laplacian;identity,8,within,2,0.2142857142857143,0.6071428571428571,56,62,162,157,ok
full,csp;laplacian;identity,8,within,3,0.1428571428571429,0.5714285714285714,56,82,162,157,ok
full,csp;laplacian;identity,8,within,42,0.0,0.5,56,48,162,157,ok
full,csp;laplacian;identity,8,official,0,0.06666666666666665,0.5333333333333333,120,90,162,112,ok
full,csp;laplacian;identity,8,official,1,0.18333333333333335,0.5916666666666667,120,78,162,112,ok
full,csp;laplacian;identity,8,official,2,0.08333333333333337,0.5416666666666666,120,68,162,112,ok
full,csp;laplacian;identity,8,official,3,-0.06666666666666665,0.4666666666666667,120,54,162,112,ok
full,csp;laplacian;identity,8,official,42,-0.050000000000000044,0.475,120,64,162,112,ok
full,csp;laplacian;identity,9,within,0,0.08333333333333337,0.5416666666666666,48,62,162,134,ok
full,csp;laplacian;identity,9,within,1,0.125,0.5625,48,80,162,134,ok
full,csp;laplacian;identity,9,within,2,0.16666666666666663,0.5833333333333334,48,74,162,134,ok
full,csp;laplacian;identity,9,within,3,0.0,0.5,48,62,162,134,ok
full,csp;laplacian;identity,9,within,42,0.25,0.625,48,94,162,134,ok
full,csp;laplacian;identity,9,official,0,0.1166666666666667,0.5583333333333333,120,52,162,84,ok
full,csp;laplacian;identity,9,official,1,0.033333333333333326,0.5166666666666667,120,44,162,84,ok
full,csp;laplacian;identity,9,official,2,0.033333333333333326,0.5166666666666667,120,96,162,84,ok
full,csp;laplacian;identity,9,official,3,0.08333333333333337,0.5416666666666666,120,56,162,84,ok
full,csp;laplacian;identity,9,official,42,-0.016666666666666607,0.49166666666666664,120,52,162,84,ok
csp_only,csp,1,within,0,0.125,0.5625,48,26,54,134,ok
csp_only,csp,1,within,1,0.25,0.625,48,14,54,134,ok
csp_only,csp,1,within,2,0.0,0.5,48,34,54,134,ok
csp_only,csp,1,within,3,0.25,0.625,48,32,54,134,ok
csp_only,csp,1,within,42,0.0,0.5,48,30,54,134,ok
csp_only,csp,1,official,0,0.19999999999999996,0.6,120,22,54,84,ok
csp_only,csp,1,official,1,0.08333333333333337,0.5416666666666666,120,18,54,84,ok
csp_only,csp,1,official,2,0.06666666666666665,0.5333333333333333,120,30,54,84,ok
csp_only,csp,1,official,3,0.1333333333333333,0.5666666666666667,120,28,54,84,ok
csp_only,csp,1,official,42,-0.1166666666666667,0.44166666666666665,120,18,54,84,ok
csp_only,csp,2,within,0,0.04166666666666663,0.5208333333333334,48,18,54,134,ok
csp_only,csp,2,within,1,-0.08333333333333326,0.4583333333333333,48,24,54,134,ok
csp_only,csp,2,within,2,-0.04166666666666674,0.4791666666666667,48,18,54,134,ok
csp_only,csp,2,within,3,-0.125,0.4375,48,26,54,134,ok
csp_only,csp,2,within,42,0.0,0.5,48,32,54,134,ok
csp_only,csp,2,official,0,0.01666666666666672,0.5083333333333333,120,34,54,84,ok
csp_only,csp,2,official,1,0.1333333333333333,0.5666666666666667,120,20,54,84,ok
csp_only,csp,2,official,2,-0.016666666666666607,0.49166666666666664,120,18,54,84,ok
csp_only,csp,2,official,3,0.01666666666666672,0.5083333333333333,120,16,54,84,ok
csp_only,csp,2,official,42,0.06666666666666665,0.5333333333333333,120,24,54,84,ok
csp_only,csp,3,within,0,-0.04166666666666674,0.4791666666666667,48,18,54,134,ok
csp_only,csp,3,within,1,0.29166666666666663,0.6458333333333334,48,30,54,134,ok
csp_only,csp,3,within,2,0.25,0.625,48,36,54,134,ok
csp_only,csp,3,within,3,0.20833333333333337,0.6041666666666666,48,16,54,134,ok
csp_only,csp,3,within,42,0.125,0.5625,48,30,54,134,ok
csp_only,csp,3,official,0,0.050000000000000044,0.525,120,10,54,84,ok
csp_only,csp,3,official,1,0.1166666666666667,0.5583333333333333,120,32,54,84,ok
csp_only,csp,3,official,2,0.21666666666666667,0.6083333333333333,120,8,54,84,ok
csp_only,csp,3,official,3,-0.03333333333333344,0.48333333333333334,120,18,54,84,ok
csp_only,csp,3,official,42,-0.08333333333333326,0.4583333333333333,120,24,54,84,ok
csp_only,csp,4,within,0,0.7692307692307692,0.8846153846153846,52,30,54,146,ok
csp_only,csp,4,within,1,0.11538461538461542,0.5576923076923077,52,36,54,146,ok
csp_only,csp,4,within,2,0.6153846153846154,0.8076923076923077,52,28,54,146,ok
csp_only,csp,4,within,3,0.2692307692307693,0.6346153846153846,52,28,54,146,ok
csp_only,csp,4,within,42,0.34615384615384615,0.6730769230769231,52,30,54,146,ok
csp_only,csp,4,official,0,0.6,0.8,140,28,54,84,ok
csp_only,csp,4,official,1,0.5,0.75,140,34,54,84,ok
csp_only,csp,4,official,2,0.7714285714285715,0.8857142857142857,140,36,54,84,ok
csp_only,csp,4,official,3,0.5857142857142856,0.7928571428571428,140,26,54,84,ok
csp_only,csp,4,official,42,0.7285714285714286,0.8642857142857143,140,28,54,84,ok
csp_only,csp,5,within,0,0.46153846153846156,0.7307692307692307,52,38,54,146,ok
csp_only,csp,5,within,1,0.42307692307692313,0.7115384615384616,52,38,54,146,ok
csp_only,csp,5,within,2,0.23076923076923073,0.6153846153846154,52,30,54,146,ok
csp_only,csp,5,within,3,0.46153846153846156,0.7307692307692307,52,44,54,146,ok
csp_only,csp,5,within,42,-0.03846153846153855,0.4807692307692308,52,22,54,146,ok
csp_only,csp,5,official,0,0.3285714285714286,0.6642857142857143,140,34,54,84,ok
csp_only,csp,5,official,1,0.3142857142857143,0.6571428571428571,140,32,54,84,ok
csp_only,csp,5,official,2,0.0,0.5,140,18,54,84,ok
csp_only,csp,5,official,3,0.1428571428571429,0.5714285714285714,140,18,54,84,ok
csp_only,csp,5,official,42,0.4,0.7,140,24,54,84,ok
csp_only,csp,6,within,0,-0.04166666666666674,0.4791666666666667,48,24,54,134,ok
csp_only,csp,6,within,1,0.04166666666666663,0.5208333333333334,48,26,54,134,ok
csp_only,csp,6,within,2,0.16666666666666663,0.5833333333333334,48,24,54,134,ok
csp_only,csp,6,within,3,-0.125,0.4375,48,22,54,134,ok
csp_only,csp,6,within,42,0.20833333333333337,0.6041666666666666,48,26,54,134,ok
csp_only,csp,6,official,0,0.06666666666666665,0.5333333333333333,120,22,54,84,ok
csp_only,csp,6,official,1,0.050000000000000044,0.525,120,16,54,84,ok
csp_only,csp,6,official,2,0.08333333333333337,0.5416666666666666,120,26,54,84,ok
csp_only,csp,6,official,3,-0.016666666666666607,0.49166666666666664,120,32,54,84,ok
csp_only,csp,6,official,42,0.033333333333333326,0.5166666666666667,120,26,54,84,ok
csp_only,csp,7,within,0,0.33333333333333337,0.6666666666666666,48,36,54,134,ok
csp_only,csp,7,within,1,0.16666666666666663,0.5833333333333334,48,36,54,134,ok
csp_only,csp,7,within,2,-0.08333333333333326,0.4583333333333333,48,22,54,134,ok
csp_only,csp,7,within,3,0.45833333333333337,0.7291666666666666,48,18,54,134,ok
csp_only,csp,7,within,42,0.25,0.625,48,32,54,134,ok
csp_only,csp,7,official,0,0.30000000000000004,0.65,120,30,54,84,ok
csp_only,csp,7,official,1,0.1333333333333333,0.5666666666666667,120,30,54,84,ok
csp_only,csp,7,official,2,-0.050000000000000044,0.475,120,22,54,84,ok
csp_only,csp,7,official,3,0.15000000000000002,0.575,120,20,54,84,ok
csp_only,csp,7,official,42,0.23333333333333328,0.6166666666666667,120,22,54,84,ok
csp_only,csp,8,within,0,0.0357142857142857,0.5178571428571429,56,10,54,157,ok
csp_only,csp,8,within,1,0.1071428571428571,0.5535714285714286,56,20,54,157,ok
csp_only,csp,8,within,2,0.2142857142857143,0.6071428571428571,56,20,54,157,ok
csp_only,csp,8,within,3,0.2142857142857143,0.6071428571428571,56,28,54,157,ok
csp_only,csp,8,within,42,0.4285714285714286,0.7142857142857143,56,18,54,157,ok
csp_only,csp,8,official,0,0.06666666666666665,0.5333333333333333,120,36,54,112,ok
csp_only,csp,8,official,1,0.0,0.5,120,30,54,112,ok
csp_only,csp,8,official,2,0.033333333333333326,0.5166666666666667,120,26,54,112,ok
csp_only,csp,8,official,3,0.1166666666666667,0.5583333333333333,120,26,54,112,ok
csp_only,csp,8,official,42,-0.19999999999999996,0.4,120,22,54,112,ok
csp_only,csp,9,within,0,0.08333333333333337,0.5416666666666666,48,22,54,134,ok
csp_only,csp,9,within,1,0.125,0.5625,48,28,54,134,ok
csp_only,csp,9,within,2,0.25,0.625,48,26,54,134,ok
csp_only,csp,9,within,3,-0.04166666666666674,0.4791666666666667,48,14,54,134,ok
csp_only,csp,9,within,42,0.16666666666666663,0.5833333333333334,48,32,54,134,ok
csp_only,csp,9,official,0,0.18333333333333335,0.5916666666666667,120,28,54,84,ok
csp_only,csp,9,official,1,0.0,0.5,120,24,54,84,ok
csp_only,csp,9,official,2,0.01666666666666672,0.5083333333333333,120,34,54,84,ok
csp_only,csp,9,official,3,0.08333333333333337,0.5416666666666666,120,28,54,84,ok
csp_only,csp,9,official,42,0.2666666666666667,0.6333333333333333,120,18,54,84,ok
laplacian_only,laplacian,1,within,0,0.125,0.5625,48,18,54,134,ok
laplacian_only,laplacian,1,within,1,-0.08333333333333326,0.4583333333333333,48,24,54,134,ok
laplacian_only,laplacian,1,within,2,-0.29166666666666674,0.3541666666666667,48,28,54,134,ok
laplacian_only,laplacian,1,within,3,0.125,0.5625,48,20,54,134,ok
laplacian_only,laplacian,1,within,42,0.08333333333333337,0.5416666666666666,48,20,54,134,ok
laplacian_only,laplacian,1,official,0,-0.1333333333333333,0.43333333333333335,120,18,54,84,ok
laplacian_only,laplacian,1,official,1,0.15000000000000002,0.575,120,24,54,84,ok
laplacian_only,laplacian,1,official,2,-0.06666666666666665,0.4666666666666667,120,26,54,84,ok
laplacian_only,laplacian,1,official,3,0.01666666666666672,0.5083333333333333,120,32,54,84,ok
laplacian_only,laplacian,1,official,42,0.09999999999999998,0.55,120,20,54,84,ok
laplacian_only,laplacian,2,within,0,0.20833333333333337,0.6041666666666666,48,18,54,134,ok
laplacian_only,laplacian,2,within,1,-0.08333333333333326,0.4583333333333333,48,28,54,134,ok
laplacian_only,laplacian,2,within,2,0.04166666666666663,0.5208333333333334,48,24,54,134,ok
laplacian_only,laplacian,2,within,3,0.0,0.5,48,28,54,134,ok
laplacian_only,laplacian,2,within,42,0.04166666666666663,0.5208333333333334,48,28,54,134,ok
laplacian_only,laplacian,2,official,0,-0.08333333333333326,0.4583333333333333,120,26,54,84,ok
laplacian_only,laplacian,2,official,1,0.0,0.5,120,26,54,84,ok
laplacian_only,laplacian,2,official,2,0.050000000000000044,0.525,120,22,54,84,ok
laplacian_only,laplacian,2,official,3,0.0,0.5,120,22,54,84,ok
laplacian_only,laplacian,2,official,42,-0.016666666666666607,0.49166666666666664,120,16,54,84,ok
laplacian_only,laplacian,3,within,0,0.04166666666666663,0.5208333333333334,48,14,54,134,ok
laplacian_only,laplacian,3,within,1,-0.20833333333333326,0.3958333333333333,48,16,54,134,ok
laplacian_only,laplacian,3,within,2,0.16666666666666663,0.5833333333333334,48,18,54,134,ok
laplacian_only,laplacian,3,within,3,0.08333333333333337,0.5416666666666666,48,12,54,134,ok
laplacian_only,laplacian,3,within,42,0.04166666666666663,0.5208333333333334,48,22,54,134,ok
laplacian_only,laplacian,3,official,0,,,0,0,54,0,empty_pool
laplacian_only,laplacian,3,official,1,0.1333333333333333,0.5666666666666667,120,26,54,84,ok
laplacian_only,laplacian,3,official,2,,,0,0,54,0,empty_pool
laplacian_only,laplacian,3,official,3,0.033333333333333326,0.5166666666666667,120,12,54,84,ok
laplacian_only,laplacian,3,official,42,-0.08333333333333326,0.4583333333333333,120,20,54,84,ok
laplacian_only,laplacian,4,within,0,-0.07692307692307687,0.46153846153846156,52,20,54,146,ok
laplacian_only,laplacian,4,within,1,-0.03846153846153855,0.4807692307692308,52,20,54,146,ok
laplacian_only,laplacian,4,within,2,-0.11538461538461542,0.4423076923076923,52,34,54,146,ok
laplacian_only,laplacian,4,within,3,0.038461538461538436,0.5192307692307693,52,16,54,146,ok
laplacian_only,laplacian,4,within,42,0.11538461538461542,0.5576923076923077,52,30,54,146,ok
laplacian_only,laplacian,4,official,0,0.12857142857142856,0.5642857142857143,140,26,54,84,ok
laplacian_only,laplacian,4,official,1,0.042857142857142816,0.5214285714285715,140,24,54,84,ok
laplacian_only,laplacian,4,official,2,-0.014285714285714235,0.4928571428571429,140,30,54,84,ok
laplacian_only,laplacian,4,official,3,0.02857142857142858,0.5142857142857142,140,26,54,84,ok
laplacian_only,laplacian,4,official,42,0.0714285714285714,0.5357142857142857,140,26,54,84,ok
laplacian_only,laplacian,5,within,0,0.34615384615384615,0.6730769230769231,52,34,54,146,ok
laplacian_only,laplacian,5,within,1,0.3076923076923077,0.6538461538461539,52,30,54,146,ok
laplacian_only,laplacian,5,within,2,0.46153846153846156,0.7307692307692307,52,20,54,146,ok
laplacian_only,laplacian,5,within,3,0.23076923076923073,0.6153846153846154,52,30,54,146,ok
laplacian_only,laplacian,5,within,42,0.11538461538461542,0.5576923076923077,52,20,54,146,ok
laplacian_only,laplacian,5,official,0,0.4,0.7,140,34,54,84,ok
laplacian_only,laplacian,5,official,1,-0.0714285714285714,0.4642857142857143,140,22,54,84,ok
laplacian_only,laplacian,5,official,2,0.18571428571428572,0.5928571428571429,140,8,54,84,ok
laplacian_only,laplacian,5,official,3,0.0,0.5,140,34,54,84,ok
laplacian_only,laplacian,5,official,42,0.042857142857142816,0.5214285714285715,140,14,54,84,ok
laplacian_only,laplacian,6,within,0,0.08333333333333337,0.5416666666666666,48,20,54,134,ok
laplacian_only,laplacian,6,within,1,0.125,0.5625,48,28,54,134,ok
laplacian_only,laplacian,6,within,2,0.0,0.5,48,30,54,134,ok
laplacian_only,laplacian,6,within,3,-0.04166666666666674,0.4791666666666667,48,18,54,134,ok
laplacian_only,laplacian,6,within,42,-0.08333333333333326,0.4583333333333333,48,22,54,134,ok
laplacian_only,laplacian,6,official,0,0.050000000000000044,0.525,120,30,54,84,ok
laplacian_only,laplacian,6,official,1,-0.050000000000000044,0.475,120,30,54,84,ok
laplacian_only,laplacian,6,official,2,-0.016666666666666607,0.49166666666666664,120,32,54,84,ok
laplacian_only,laplacian,6,official,3,-0.10000000000000009,0.45,120,24,54,84,ok
laplacian_only,laplacian,6,official,42,-0.08333333333333326,0.4583333333333333,120,24,54,84,ok
laplacian_only,laplacian,7,within,0,0.16666666666666663,0.5833333333333334,48,24,54,134,ok
laplacian_only,laplacian,7,within,1,-0.08333333333333326,0.4583333333333333,48,28,54,134,ok
laplacian_only,laplacian,7,within,2,0.33333333333333337,0.6666666666666666,48,20,54,134,ok
laplacian_only,laplacian,7,within,3,0.33333333333333337,0.6666666666666666,48,16,54,134,ok
laplacian_only,laplacian,7,within,42,0.04166666666666663,0.5208333333333334,48,36,54,134,ok
laplacian_only,laplacian,7,official,0,0.1333333333333333,0.5666666666666667,120,44,54,84,ok
laplacian_only,laplacian,7,official,1,-0.1333333333333333,0.43333333333333335,120,30,54,84,ok
laplacian_only,laplacian,7,official,2,0.19999999999999996,0.6,120,11,54,84,ok
laplacian_only,laplacian,7,official,3,0.16666666666666663,0.5833333333333334,120,18,54,84,ok
laplacian_only,laplacian,7,official,42,0.23333333333333328,0.6166666666666667,120,8,54,84,ok
laplacian_only,laplacian,8,within,0,-0.03571428571428581,0.48214285714285715,56,18,54,157,ok
laplacian_only,laplacian,8,within,1,0.1071428571428571,0.5535714285714286,56,20,54,157,ok
laplacian_only,laplacian,8,within,2,-0.0714285714285714,0.4642857142857143,56,20,54,157,ok
laplacian_only,laplacian,8,within,3,0.1428571428571429,0.5714285714285714,56,26,54,157,ok
laplacian_only,laplacian,8,within,42,-0.03571428571428581,0.48214285714285715,56,12,54,157,ok
laplacian_only,laplacian,8,official,0,0.16666666666666663,0.5833333333333334,120,26,54,112,ok
laplacian_only,laplacian,8,official,1,0.18333333333333335,0.5916666666666667,120,18,54,112,ok
laplacian_only,laplacian,8,official,2,0.08333333333333337,0.5416666666666666,120,20,54,112,ok
laplacian_only,laplacian,8,official,3,-0.016666666666666607,0.49166666666666664,120,6,54,112,ok
laplacian_only,laplacian,8,official,42,-0.03333333333333344,0.48333333333333334,120,18,54,112,ok
laplacian_only,laplacian,9,within,0,0.45833333333333337,0.7291666666666666,48,18,54,134,ok
laplacian_only,laplacian,9,within,1,0.125,0.5625,48,28,54,134,ok
laplacian_only,laplacian,9,within,2,-0.125,0.4375,48,22,54,134,ok
laplacian_only,laplacian,9,within,3,0.125,0.5625,48,24,54,134,ok
laplacian_only,laplacian,9,within,42,0.08333333333333337,0.5416666666666666,48,32,54,134,ok
laplacian_only,laplacian,9,official,0,0.1333333333333333,0.5666666666666667,120,12,54,84,ok
laplacian_only,laplacian,9,official,1,0.15000000000000002,0.575,120,12,54,84,ok
laplacian_only,laplacian,9,official,2,0.050000000000000044,0.525,120,34,54,84,ok
laplacian_only,laplacian,9,official,3,0.0,0.5,120,16,54,84,ok
laplacian_only,laplacian,9,official,42,0.0,0.5,120,12,54,84,ok
identity_only,identity,1,within,0,0.33333333333333337,0.6666666666666666,48,32,54,134,ok
identity_only,identity,1,within,1,0.45833333333333337,0.7291666666666666,48,26,54,134,ok
identity_only,identity,1,within,2,0.41666666666666663,0.7083333333333334,48,30,54,134,ok
identity_only,identity,1,within,3,0.08333333333333337,0.5416666666666666,48,20,54,134,ok
identity_only,identity,1,within,42,-0.125,0.4375,48,26,54,134,ok
identity_only,identity,1,official,0,0.0,0.5,120,28,54,84,ok
identity_only,identity,1,official,1,-0.03333333333333344,0.48333333333333334,120,18,54,84,ok
identity_only,identity,1,official,2,-0.016666666666666607,0.49166666666666664,120,32,54,84,ok
identity_only,identity,1,official,3,0.050000000000000044,0.525,120,30,54,84,ok
identity_only,identity,1,official,42,0.30000000000000004,0.65,120,14,54,84,ok
identity_only,identity,2,within,0,0.125,0.5625,48,12,54,134,ok
identity_only,identity,2,within,1,-0.20833333333333326,0.3958333333333333,48,26,54,134,ok
identity_only,identity,2,within,2,0.08333333333333337,0.5416666666666666,48,12,54,134,ok
identity_only,identity,2,within,3,0.125,0.5625,48,24,54,134,ok
identity_only,identity,2,within,42,0.0,0.5,48,26,54,134,ok
identity_only,identity,2,official,0,0.06666666666666665,0.5333333333333333,120,34,54,84,ok
identity_only,identity,2,official,1,0.09999999999999998,0.55,120,16,54,84,ok
identity_only,identity,2,official,2,0.0,0.5,120,18,54,84,ok
identity_only,identity,2,official,3,-0.050000000000000044,0.475,120,18,54,84,ok
identity_only,identity,2,official,42,0.09999999999999998,0.55,120,20,54,84,ok
identity_only,identity,3,within,0,0.25,0.625,48,14,54,134,ok
identity_only,identity,3,within,1,0.08333333333333337,0.5416666666666666,48,40,54,134,ok
identity_only,identity,3,within,2,0.04166666666666663,0.5208333333333334,48,30,54,134,ok
identity_only,identity,3,within,3,0.16666666666666663,0.5833333333333334,48,14,54,134,ok
identity_only,identity,3,within,42,0.25,0.625,48,24,54,134,ok
identity_only,identity,3,official,0,0.033333333333333326,0.5166666666666667,120,6,54,84,ok
identity_only,identity,3,official,1,0.01666666666666672,0.5083333333333333,120,38,54,84,ok
identity_only,identity,3,official,2,0.16666666666666663,0.5833333333333334,120,10,54,84,ok
identity_only,identity,3,official,3,-0.03333333333333344,0.48333333333333334,120,22,54,84,ok
identity_only,identity,3,official,42,0.23333333333333328,0.6166666666666667,120,20,54,84,ok
identity_only,identity,4,within,0,0.5384615384615384,0.7692307692307693,52,34,54,146,ok
identity_only,identity,4,within,1,0.6923076923076923,0.8461538461538461,52,26,54,146,ok
identity_only,identity,4,within,2,0.5384615384615384,0.7692307692307693,52,28,54,146,ok
identity_only,identity,4,within,3,0.6923076923076923,0.8461538461538461,52,26,54,146,ok
identity_only,identity,4,within,42,0.34615384615384615,0.6730769230769231,52,26,54,146,ok
identity_only,identity,4,official,0,0.5,0.75,140,32,54,84,ok
identity_only,identity,4,official,1,0.5857142857142856,0.7928571428571428,140,26,54,84,ok
identity_only,identity,4,official,2,0.5428571428571429,0.7714285714285715,140,36,54,84,ok
identity_only,identity,4,official,3,0.5571428571428572,0.7785714285714286,140,24,54,84,ok
identity_only,identity,4,official,42,0.6428571428571428,0.8214285714285714,140,32,54,84,ok
identity_only,identity,5,within,0,0.42307692307692313,0.7115384615384616,52,30,54,146,ok
identity_only,identity,5,within,1,0.42307692307692313,0.7115384615384616,52,38,54,146,ok
identity_only,identity,5,within,2,0.15384615384615385,0.5769230769230769,52,24,54,146,ok
identity_only,identity,5,within,3,0.15384615384615385,0.5769230769230769,52,46,54,146,ok
identity_only,identity,5,within,42,0.1923076923076923,0.5961538461538461,52,26,54,146,ok
identity_only,identity,5,official,0,0.30000000000000004,0.65,140,42,54,84,ok
identity_only,identity,5,official,1,0.05714285714285716,0.5285714285714286,140,30,54,84,ok
identity_only,identity,5,official,2,0.2571428571428571,0.6285714285714286,140,20,54,84,ok
identity_only,identity,5,official,3,0.0,0.5,140,24,54,84,ok
identity_only,identity,5,official,42,0.3571428571428571,0.6785714285714286,140,32,54,84,ok
