dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,3,within,within_fold0,0,0.5,0.3,50,2.0,4,False,4.0,workload,0.11355735805330247,0.6078431372549019,153,64,0,0.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.28657470371089955,0.6862745098039216,153,72,426,141.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,4.0,4,False,4.0,workload,0.37248322147651014,0.7124183006535948,153,72,426,144.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,3.0,4,False,4.0,workload,0.23632175081589568,0.6601307189542484,153,72,0,0.0,
WAUC,3,within,within_fold0,1,0.5,0.3,50,2.0,4,False,4.0,workload,0.23632175081589568,0.6601307189542484,153,72,0,0.0,
WAUC,3,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.15752212389380527,0.6339869281045751,153,72,426,149.0,
WAUC,3,within,within_fold0,2,0.5,0.3,50,4.0,4,False,4.0,workload,0.23304643904284494,0.6535947712418301,153,72,426,175.0,
WAUC,3,within,within_fold0,2,0.5,0.3,50,3.0,4,False,4.0,workload,0.42029387302467425,0.7320261437908496,153,72,0,0.0,
WAUC,3,within,within_fold0,2,0.5,0.3,50,2.0,4,False,4.0,workload,0.42029387302467425,0.7320261437908496,153,72,0,0.0,
WAUC,3,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.432808155699722,0.738562091503268,153,76,426,130.0,
WAUC,3,within,within_fold0,3,0.5,0.3,50,4.0,4,False,4.0,workload,0.35381071222883476,0.7124183006535948,153,76,426,153.0,
WAUC,3,within,within_fold0,3,0.5,0.3,50,3.0,4,False,4.0,workload,0.21931260229132565,0.6535947712418301,153,76,0,0.0,
WAUC,3,within,within_fold0,3,0.5,0.3,50,2.0,4,False,4.0,workload,0.21931260229132565,0.6535947712418301,153,76,0,0.0,
WAUC,3,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,367,106.0,
WAUC,3,within,within_fold0,42,0.5,0.3,50,4.0,4,False,4.0,workload,0.3033579965850882,0.6862745098039216,153,80,426,130.0,
WAUC,3,within,within_fold0,42,0.5,0.3,50,3.0,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,0,0.0,
WAUC,3,within,within_fold0,42,0.5,0.3,50,2.0,4,False,4.0,workload,0.5224628771398846,0.7843137254901961,153,80,0,0.0,
WAUC,4,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.3586956521739131,0.6793478260869565,184,94,513,176.0,
WAUC,4,within,within_fold0,0,0.5,0.3,50,4.0,4,False,4.0,workload,0.34782608695652173,0.6739130434782609,184,94,513,157.0,
WAUC,4,within,within_fold0,0,0.5,0.3,50,3.0,4,False,4.0,workload,0.2934782608695652,0.6467391304347826,184,94,0,0.0,
WAUC,4,within,within_fold0,0,0.5,0.3,50,2.0,4,False,4.0,workload,0.2934782608695652,0.6467391304347826,184,94,0,0.0,
WAUC,4,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.4782608695652174,0.7391304347826086,184,100,513,162.0,
WAUC,4,within,within_fold0,1,0.5,0.3,50,4.0,4,False,4.0,workload,0.2934782608695652,0.6467391304347826,184,100,513,156.0,
WAUC,4,within,within_fold0,1,0.5,0.3,50,3.0,4,False,4.0,workload,0.4782608695652174,0.7391304347826086,184,100,0,0.0,
WAUC,4,within,within_fold0,1,0.5,0.3,50,2.0,4,False,4.0,workload,0.4782608695652174,0.7391304347826086,184,100,0,0.0,
WAUC,4,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.18478260869565222,0.592391304347826,184,98,513,176.0,
WAUC,4,within,within_fold0,2,0.5,0.3,50,4.0,4,False,4.0,workload,0.18478260869565222,0.592391304347826,184,98,513,176.0,
WAUC,4,within,within_fold0,2,0.5,0.3,50,3.0,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,0,0.0,
WAUC,4,within,within_fold0,2,0.5,0.3,50,2.0,4,False,4.0,workload,0.42391304347826086,0.7119565217391305,184,98,0,0.0,
WAUC,4,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.3152173913043478,0.657608695652174,184,100,513,159.0,
WAUC,4,within,within_fold0,3,0.5,0.3,50,4.0,4,False,4.0,workload,0.4130434782608695,0.7065217391304348,184,100,513,152.0,
WAUC,4,within,within_fold0,3,0.5,0.3,50,3.0,4,False,4.0,workload,0.40217391304347827,0.7010869565217391,184,100,0,0.0,
WAUC,4,within,within_fold0,3,0.5,0.3,50,2.0,4,False,4.0,workload,0.40217391304347827,0.7010869565217391,184,100,0,0.0,
WAUC,4,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5652173913043479,0.782608695652174,184,96,513,156.0,
WAUC,4,within,within_fold0,42,0.5,0.3,50,4.0,4,False,4.0,workload,0.19565217391304346,0.5978260869565217,184,96,513,158.0,
WAUC,4,within,within_fold0,42,0.5,0.3,50,3.0,4,False,4.0,workload,0.5652173913043479,0.782608695652174,184,96,0,0.0,
