dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,12,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,8.0
STEW,12,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,83,41,4.0
STEW,12,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.5871559633027523,0.8,15,84,41,7.0
STEW,13,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,100,41,4.0
STEW,13,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,26,0.0
STEW,13,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,26,1.0
STEW,13,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,100,41,3.0
STEW,13,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,2.0
STEW,14,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,5.0
STEW,14,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8672566371681416,0.9333333333333333,15,94,41,1.0
STEW,14,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,36,3.0
STEW,14,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,15,98,41,4.0
STEW,14,within,within_fold0,42,0.5,0.3,50,4,False,4.0,1.0,1.0,15,100,41,3.0
STEW,15,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,78,41,15.0
STEW,15,within,within_fold0,1,0.5,0.3,50,4,False,4.0,1.0,1.0,15,56,41,18.0
STEW,15,within,within_fold0,2,0.5,0.3,50,4,False,4.0,1.0,1.0,15,61,33,5.0
STEW,15,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.2990654205607476,0.6666666666666666,15,69,41,11.0
STEW,15,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7272727272727273,0.8666666666666667,15,64,41,8.0
STEW,16,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7321428571428572,0.8666666666666667,15,93,41,10.0
STEW,16,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.8648648648648649,0.9333333333333333,15,77,41,9.0
