dataset,protocol,montage,method,feature_family,classifier,subject,seed,kappa,accuracy,n_train,n_test,n_channels,n_arms_surviving,final_regret,error
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,9,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,9,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,9,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,9,-1,0.06666666666666665,0.5333333333333333,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,9,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,9,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,9,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,9,0,-0.011111111111111072,0.49444444444444446,90,180,2,48,33.0,
COGBCI-PVT,cross,nearear,ccb,,,9,1,0.09999999999999998,0.55,90,180,2,19,31.0,
COGBCI-PVT,cross,nearear,ccb,,,9,2,0.033333333333333326,0.5166666666666667,90,180,2,40,31.0,
COGBCI-PVT,cross,nearear,ccb,,,9,3,0.0,0.5,90,180,2,37,29.0,
COGBCI-PVT,cross,nearear,ccb,,,9,42,0.011111111111111072,0.5055555555555555,90,180,2,53,33.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,10,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,10,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,10,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,10,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,10,-1,0.4444444444444444,0.7222222222222222,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,10,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,10,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,10,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,10,0,-0.22222222222222232,0.3888888888888889,72,18,2,34,25.0,
COGBCI-PVT,within,nearear,ccb,,,10,1,0.4444444444444444,0.7222222222222222,72,18,2,19,25.0,
COGBCI-PVT,within,nearear,ccb,,,10,2,0.2222222222222222,0.6111111111111112,72,18,2,42,24.0,
COGBCI-PVT,within,nearear,ccb,,,10,3,-0.5555555555555556,0.2222222222222222,72,18,2,47,31.0,
COGBCI-PVT,within,nearear,ccb,,,10,42,-0.11111111111111116,0.4444444444444444,72,18,2,37,25.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,10,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,10,-1,0.06666666666666665,0.5333333333333333,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,10,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,10,-1,0.0888888888888889,0.5444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,10,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,10,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,10,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,10,-1,0.0888888888888889,0.5444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,10,0,-0.05555555555555558,0.4722222222222222,90,180,2,30,32.0,
COGBCI-PVT,cross,nearear,ccb,,,10,1,-0.03333333333333344,0.48333333333333334,90,180,2,22,32.0,
COGBCI-PVT,cross,nearear,ccb,,,10,2,0.0,0.5,90,180,2,31,33.0,
COGBCI-PVT,cross,nearear,ccb,,,10,3,0.011111111111111072,0.5055555555555555,90,180,2,21,22.0,
COGBCI-PVT,cross,nearear,ccb,,,10,42,-0.011111111111111072,0.49444444444444446,90,180,2,38,34.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,11,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,11,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,11,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,11,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,11,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,11,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,11,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,11,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,11,0,0.0,0.5,72,18,2,48,23.0,
COGBCI-PVT,within,nearear,ccb,,,11,1,0.33333333333333337,0.6666666666666666,72,18,2,24,27.0,
COGBCI-PVT,within,nearear,ccb,,,11,2,0.0,0.5,72,18,2,22,25.0,
COGBCI-PVT,within,nearear,ccb,,,11,3,0.11111111111111116,0.5555555555555556,72,18,2,68,25.0,
COGBCI-PVT,within,nearear,ccb,,,11,42,0.0,0.5,72,18,2,27,17.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,11,-1,0.05555555555555558,0.5277777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,11,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,11,-1,-0.06666666666666665,0.4666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,11,-1,0.07777777777777772,0.5388888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,11,-1,0.09999999999999998,0.55,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,11,-1,0.2222222222222222,0.6111111111111112,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,11,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,11,-1,0.24444444444444446,0.6222222222222222,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,11,0,-0.06666666666666665,0.4666666666666667,90,180,2,42,38.0,
COGBCI-PVT,cross,nearear,ccb,,,11,1,-0.03333333333333344,0.48333333333333334,90,180,2,42,33.0,
COGBCI-PVT,cross,nearear,ccb,,,11,2,-0.03333333333333344,0.48333333333333334,90,180,2,32,34.0,
COGBCI-PVT,cross,nearear,ccb,,,11,3,0.11111111111111116,0.5555555555555556,90,180,2,18,30.0,
COGBCI-PVT,cross,nearear,ccb,,,11,42,-0.04444444444444451,0.4777777777777778,90,180,2,35,26.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,12,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,12,-1,-0.4444444444444444,0.2777777777777778,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,12,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,12,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,12,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,12,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,12,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,12,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,12,0,-0.22222222222222232,0.3888888888888889,72,18,2,57,23.0,
COGBCI-PVT,within,nearear,ccb,,,12,1,0.0,0.5,72,18,2,42,20.0,
COGBCI-PVT,within,nearear,ccb,,,12,2,0.0,0.5,72,18,2,38,26.0,
COGBCI-PVT,within,nearear,ccb,,,12,3,0.0,0.5,72,18,2,48,22.0,
COGBCI-PVT,within,nearear,ccb,,,12,42,0.0,0.5,72,18,2,31,17.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,12,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,12,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,12,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,12,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,12,-1,-0.04444444444444451,0.4777777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,12,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,12,-1,0.06666666666666665,0.5333333333333333,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,12,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,12,0,0.011111111111111072,0.5055555555555555,90,180,2,22,28.0,
COGBCI-PVT,cross,nearear,ccb,,,12,1,-0.022222222222222143,0.4888888888888889,90,180,2,29,23.0,
COGBCI-PVT,cross,nearear,ccb,,,12,2,-0.022222222222222143,0.4888888888888889,90,180,2,36,27.0,
COGBCI-PVT,cross,nearear,ccb,,,12,3,-0.07777777777777772,0.46111111111111114,90,180,2,56,26.0,
COGBCI-PVT,cross,nearear,ccb,,,12,42,0.022222222222222254,0.5111111111111111,90,180,2,92,30.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,13,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,13,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,13,-1,0.33333333333333337,0.6666666666666666,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,13,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,13,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,13,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,13,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,13,-1,-0.33333333333333326,0.3333333333333333,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,13,0,0.0,0.5,72,18,2,40,25.0,
COGBCI-PVT,within,nearear,ccb,,,13,1,0.2222222222222222,0.6111111111111112,72,18,2,51,19.0,
COGBCI-PVT,within,nearear,ccb,,,13,2,0.0,0.5,72,18,2,16,19.0,
COGBCI-PVT,within,nearear,ccb,,,13,3,-0.11111111111111116,0.4444444444444444,72,18,2,66,24.0,
COGBCI-PVT,within,nearear,ccb,,,13,42,0.11111111111111116,0.5555555555555556,72,18,2,53,21.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,13,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,13,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,13,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,13,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,13,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,13,-1,-0.11111111111111116,0.4444444444444444,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,13,-1,-0.07777777777777772,0.46111111111111114,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,13,-1,-0.07777777777777772,0.46111111111111114,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,13,0,0.022222222222222254,0.5111111111111111,90,180,2,8,28.0,
COGBCI-PVT,cross,nearear,ccb,,,13,1,0.022222222222222254,0.5111111111111111,90,180,2,14,34.0,
COGBCI-PVT,cross,nearear,ccb,,,13,2,0.033333333333333326,0.5166666666666667,90,180,2,48,24.0,
COGBCI-PVT,cross,nearear,ccb,,,13,3,0.06666666666666665,0.5333333333333333,90,180,2,42,31.0,
COGBCI-PVT,cross,nearear,ccb,,,13,42,0.06666666666666665,0.5333333333333333,90,180,2,72,33.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,14,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,14,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,14,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,14,-1,-0.4444444444444444,0.2777777777777778,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,14,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,14,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,14,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,14,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,14,0,0.33333333333333337,0.6666666666666666,72,18,2,38,31.0,
COGBCI-PVT,within,nearear,ccb,,,14,1,0.11111111111111116,0.5555555555555556,72,18,2,22,20.0,
COGBCI-PVT,within,nearear,ccb,,,14,2,-0.11111111111111116,0.4444444444444444,72,18,2,38,27.0,
COGBCI-PVT,within,nearear,ccb,,,14,3,-0.11111111111111116,0.4444444444444444,72,18,2,44,27.0,
COGBCI-PVT,within,nearear,ccb,,,14,42,-0.11111111111111116,0.4444444444444444,72,18,2,30,24.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,14,-1,0.011111111111111072,0.5055555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,14,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,14,-1,0.09999999999999998,0.55,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,14,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,14,-1,-0.07777777777777772,0.46111111111111114,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,14,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,14,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,14,-1,-0.06666666666666665,0.4666666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,14,0,-0.05555555555555558,0.4722222222222222,90,180,2,44,32.0,
COGBCI-PVT,cross,nearear,ccb,,,14,1,0.022222222222222254,0.5111111111111111,90,180,2,23,28.0,
COGBCI-PVT,cross,nearear,ccb,,,14,2,0.07777777777777772,0.5388888888888889,90,180,2,50,29.0,
COGBCI-PVT,cross,nearear,ccb,,,14,3,0.0888888888888889,0.5444444444444444,90,180,2,38,37.0,
COGBCI-PVT,cross,nearear,ccb,,,14,42,0.022222222222222254,0.5111111111111111,90,180,2,26,29.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,15,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,15,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,15,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,15,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,15,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,15,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,15,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,15,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,15,0,-0.33333333333333326,0.3333333333333333,72,18,2,45,20.0,
COGBCI-PVT,within,nearear,ccb,,,15,1,0.0,0.5,72,18,2,45,28.0,
COGBCI-PVT,within,nearear,ccb,,,15,2,-0.5555555555555556,0.2222222222222222,72,18,2,61,20.0,
COGBCI-PVT,within,nearear,ccb,,,15,3,0.0,0.5,72,18,2,39,22.0,
COGBCI-PVT,within,nearear,ccb,,,15,42,0.2222222222222222,0.6111111111111112,72,18,2,11,19.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,15,-1,-0.011111111111111072,0.49444444444444446,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,15,-1,0.022222222222222254,0.5111111111111111,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,15,-1,-0.05555555555555558,0.4722222222222222,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,15,-1,0.0444444444444444,0.5222222222222223,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,15,-1,0.09999999999999998,0.55,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,15,-1,0.11111111111111116,0.5555555555555556,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,15,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,15,-1,0.05555555555555558,0.5277777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,15,0,0.033333333333333326,0.5166666666666667,90,180,2,47,31.0,
COGBCI-PVT,cross,nearear,ccb,,,15,1,-0.15555555555555545,0.4222222222222222,90,180,2,33,32.0,
COGBCI-PVT,cross,nearear,ccb,,,15,2,-0.011111111111111072,0.49444444444444446,90,180,2,23,33.0,
COGBCI-PVT,cross,nearear,ccb,,,15,3,-0.022222222222222143,0.4888888888888889,90,180,2,27,32.0,
COGBCI-PVT,cross,nearear,ccb,,,15,42,0.022222222222222254,0.5111111111111111,90,180,2,35,37.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,16,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,16,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,16,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,16,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,16,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,16,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,16,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,16,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,16,0,-0.11111111111111116,0.4444444444444444,72,18,2,60,28.0,
COGBCI-PVT,within,nearear,ccb,,,16,1,0.11111111111111116,0.5555555555555556,72,18,2,68,25.0,
COGBCI-PVT,within,nearear,ccb,,,16,2,-0.11111111111111116,0.4444444444444444,72,18,2,28,24.0,
COGBCI-PVT,within,nearear,ccb,,,16,3,0.2222222222222222,0.6111111111111112,72,18,2,38,24.0,
COGBCI-PVT,within,nearear,ccb,,,16,42,0.11111111111111116,0.5555555555555556,72,18,2,47,18.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,16,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,16,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,16,-1,0.0,0.5,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,16,-1,-0.10000000000000009,0.45,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,16,-1,0.05555555555555558,0.5277777777777778,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,16,-1,0.15555555555555556,0.5777777777777777,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,16,-1,0.09999999999999998,0.55,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,16,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,16,0,0.0,0.5,90,180,2,24,26.0,
COGBCI-PVT,cross,nearear,ccb,,,16,1,0.06666666666666665,0.5333333333333333,90,180,2,37,29.0,
COGBCI-PVT,cross,nearear,ccb,,,16,2,-0.05555555555555558,0.4722222222222222,90,180,2,36,30.0,
COGBCI-PVT,cross,nearear,ccb,,,16,3,0.0,0.5,90,180,2,46,36.0,
COGBCI-PVT,cross,nearear,ccb,,,16,42,0.0,0.5,90,180,2,53,25.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,17,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,17,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,17,-1,0.2222222222222222,0.6111111111111112,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,17,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,17,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,17,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,decision_tree,17,-1,-0.5555555555555556,0.2222222222222222,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,random_forest,17,-1,-0.11111111111111116,0.4444444444444444,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,ccb,,,17,0,-0.4444444444444444,0.2777777777777778,72,18,2,45,25.0,
COGBCI-PVT,within,nearear,ccb,,,17,1,-0.22222222222222232,0.3888888888888889,72,18,2,66,20.0,
COGBCI-PVT,within,nearear,ccb,,,17,2,-0.22222222222222232,0.3888888888888889,72,18,2,34,24.0,
COGBCI-PVT,within,nearear,ccb,,,17,3,-0.22222222222222232,0.3888888888888889,72,18,2,92,19.0,
COGBCI-PVT,within,nearear,ccb,,,17,42,0.2222222222222222,0.6111111111111112,72,18,2,38,21.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,lda,17,-1,-0.011111111111111072,0.49444444444444446,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,svm,17,-1,-0.011111111111111072,0.49444444444444446,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,decision_tree,17,-1,-0.0888888888888888,0.45555555555555555,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,fbcsp,random_forest,17,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,lda,17,-1,-0.03333333333333344,0.48333333333333334,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,svm,17,-1,0.033333333333333326,0.5166666666666667,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,decision_tree,17,-1,-0.022222222222222143,0.4888888888888889,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,fixed,bandpower,random_forest,17,-1,-0.07777777777777772,0.46111111111111114,90,180,2,0,0.0,
COGBCI-PVT,cross,nearear,ccb,,,17,0,0.0,0.5,90,180,2,81,28.0,
COGBCI-PVT,cross,nearear,ccb,,,17,1,-0.03333333333333344,0.48333333333333334,90,180,2,51,31.0,
COGBCI-PVT,cross,nearear,ccb,,,17,2,-0.022222222222222143,0.4888888888888889,90,180,2,22,27.0,
COGBCI-PVT,cross,nearear,ccb,,,17,3,-0.022222222222222143,0.4888888888888889,90,180,2,31,30.0,
COGBCI-PVT,cross,nearear,ccb,,,17,42,-0.011111111111111072,0.49444444444444446,90,180,2,28,22.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,lda,18,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,svm,18,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,decision_tree,18,-1,0.0,0.5,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,fbcsp,random_forest,18,-1,-0.22222222222222232,0.3888888888888889,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,lda,18,-1,0.11111111111111116,0.5555555555555556,72,18,2,0,0.0,
COGBCI-PVT,within,nearear,fixed,bandpower,svm,18,-1,0.0,0.5,72,18,2,0,0.0,
