dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,include_riemann_arms,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
BCI-IV-2a,5,within,within_fold0,42,0.5,0.3,50,False,0.4137931034482759,0.7068965517241379,58,52,161,64.0
BCI-IV-2a,5,official,official_fold0,0,0.5,0.3,50,False,-0.01388888888888884,0.4930555555555556,144,46,101,39.0
BCI-IV-2a,5,official,official_fold0,1,0.5,0.3,50,False,-0.13888888888888884,0.4305555555555556,144,68,101,47.0
BCI-IV-2a,5,official,official_fold0,2,0.5,0.3,50,False,0.20833333333333337,0.6041666666666666,144,62,101,41.0
BCI-IV-2a,5,official,official_fold0,3,0.5,0.3,50,False,0.45833333333333337,0.7291666666666666,144,54,101,28.0
BCI-IV-2a,5,official,official_fold0,42,0.5,0.3,50,False,0.01388888888888884,0.5069444444444444,144,42,83,39.0
BCI-IV-2a,6,within,within_fold0,0,0.5,0.3,50,False,0.10344827586206895,0.5517241379310345,58,42,161,85.0
BCI-IV-2a,6,within,within_fold0,1,0.5,0.3,50,False,0.27586206896551724,0.6379310344827587,58,50,57,27.0
BCI-IV-2a,6,within,within_fold0,2,0.5,0.3,50,False,0.0,0.5,58,52,161,76.0
BCI-IV-2a,6,within,within_fold0,3,0.5,0.3,50,False,0.06896551724137934,0.5344827586206896,58,42,120,53.0
BCI-IV-2a,6,within,within_fold0,42,0.5,0.3,50,False,-0.2068965517241379,0.39655172413793105,58,50,61,33.0
BCI-IV-2a,6,official,official_fold0,0,0.5,0.3,50,False,0.06944444444444442,0.5347222222222222,144,46,101,51.0
BCI-IV-2a,6,official,official_fold0,1,0.5,0.3,50,False,0.08333333333333337,0.5416666666666666,144,54,101,53.0
BCI-IV-2a,6,official,official_fold0,2,0.5,0.3,50,False,0.09722222222222221,0.5486111111111112,144,52,101,52.0
BCI-IV-2a,6,official,official_fold0,3,0.5,0.3,50,False,0.125,0.5625,144,70,101,50.0
BCI-IV-2a,6,official,official_fold0,42,0.5,0.3,50,False,0.1527777777777778,0.5763888888888888,144,52,92,51.0
BCI-IV-2a,7,within,within_fold0,0,0.5,0.3,50,False,0.06896551724137934,0.5344827586206896,58,46,161,66.0
BCI-IV-2a,7,within,within_fold0,1,0.5,0.3,50,False,0.13793103448275867,0.5689655172413793,58,48,111,53.0
BCI-IV-2a,7,within,within_fold0,2,0.5,0.3,50,False,0.6206896551724138,0.8103448275862069,58,64,66,27.0
BCI-IV-2a,7,within,within_fold0,3,0.5,0.3,50,False,0.2068965517241379,0.603448275862069,58,41,161,59.0
BCI-IV-2a,7,within,within_fold0,42,0.5,0.3,50,False,0.5862068965517242,0.7931034482758621,58,48,133,38.0
BCI-IV-2a,7,official,official_fold0,0,0.5,0.3,50,False,0.02777777777777779,0.5138888888888888,144,48,101,54.0
BCI-IV-2a,7,official,official_fold0,1,0.5,0.3,50,False,0.2222222222222222,0.6111111111111112,144,58,101,39.0
BCI-IV-2a,7,official,official_fold0,2,0.5,0.3,50,False,0.33333333333333337,0.6666666666666666,144,52,101,36.0
BCI-IV-2a,7,official,official_fold0,3,0.5,0.3,50,False,-0.05555555555555558,0.4722222222222222,144,38,74,23.0
