dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,4,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.33628318584070793,0.6666666666666666,15,74,26,5.0
STEW,4,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.18181818181818188,0.6,15,64,39,7.0
STEW,4,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.22413793103448265,0.6,15,82,41,12.0
STEW,4,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,94,26,5.0
STEW,4,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,34,47,9.0
STEW,4,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,61,41,9.0
STEW,4,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,86,19,2.0
STEW,4,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,64,19,3.0
STEW,4,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,82,41,9.0
STEW,4,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,86,26,8.0
STEW,6,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,98,47,8.0
STEW,6,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,41,2.0
STEW,6,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,29,0.0
STEW,6,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,76,47,4.0
STEW,6,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,100,41,7.0
STEW,6,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,29,4.0
STEW,6,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,94,47,4.0
STEW,6,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,31,2.0
STEW,6,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,29,2.0
STEW,6,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,72,47,7.0
STEW,6,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,96,41,4.0
STEW,6,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,1.0
STEW,6,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,94,47,3.0
STEW,6,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,7.0
STEW,6,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,2.0
STEW,7,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.32432432432432434,0.6666666666666666,15,73,47,9.0
STEW,7,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,76,41,6.0
STEW,7,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,5.0
STEW,7,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,54,47,14.0
STEW,7,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,77,41,6.0
STEW,7,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,26,2.0
STEW,7,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,70,47,8.0
STEW,7,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,83,41,7.0
STEW,7,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,29,3.0
STEW,7,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.2990654205607476,0.6666666666666666,15,44,47,9.0
STEW,7,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,57,41,5.0
STEW,7,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,99,21,2.0
STEW,7,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,81,27,1.0
STEW,7,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,92,41,7.0
STEW,7,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,94,29,3.0
STEW,8,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,75,47,9.0
STEW,8,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,77,41,4.0
STEW,8,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,29,9.0
STEW,8,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,48,47,10.0
STEW,8,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,64,41,7.0
STEW,8,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,29,3.0
STEW,8,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,56,42,11.0
STEW,8,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,95,41,10.0
STEW,8,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,100,29,3.0
STEW,8,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,48,47,9.0
STEW,8,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,71,41,9.0
STEW,8,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,100,29,6.0
STEW,8,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,76,29,2.0
STEW,8,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,98,23,4.0
STEW,8,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,29,3.0
STEW,9,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,74,47,9.0
STEW,9,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,93,41,10.0
STEW,9,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,100,29,6.0
STEW,9,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.4444444444444444,0.7333333333333333,15,32,47,22.0
STEW,9,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,60,41,12.0
STEW,9,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.2990654205607476,0.6666666666666666,15,93,29,7.0
STEW,9,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,57,47,17.0
STEW,9,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,66,38,11.0
STEW,9,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.34782608695652173,0.6666666666666666,15,90,16,5.0
STEW,9,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,32,47,18.0
STEW,9,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,42,16,2.0
STEW,9,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,90,19,2.0
STEW,9,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,47,47,9.0
STEW,9,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,79,26,5.0
STEW,9,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.34782608695652173,0.6666666666666666,15,92,29,7.0
STEW,10,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,47,10.0
STEW,10,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,33,2.0
STEW,10,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,29,3.0
STEW,10,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,77,47,6.0
STEW,10,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,3.0
STEW,10,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,100,29,3.0
STEW,10,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,82,47,5.0
STEW,10,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.34782608695652173,0.6666666666666666,15,100,41,4.0
STEW,10,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,100,29,2.0
STEW,10,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,70,47,10.0
STEW,10,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,4.0
STEW,10,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,19,1.0
STEW,10,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,84,47,4.0
STEW,10,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.48275862068965514,0.7333333333333333,15,100,41,5.0
STEW,10,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,100,29,2.0
STEW,11,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,83,47,12.0
STEW,11,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,92,41,8.0
STEW,11,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,100,29,6.0
STEW,11,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,61,47,13.0
STEW,11,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,71,41,5.0
STEW,11,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.4642857142857143,0.7333333333333333,15,100,29,6.0
STEW,11,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,64,47,7.0
STEW,11,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.6086956521739131,0.8,15,100,38,8.0
STEW,11,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,29,6.0
STEW,11,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.4642857142857143,0.7333333333333333,15,62,47,10.0
STEW,11,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,78,41,7.0
STEW,11,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,100,29,4.0
STEW,11,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,73,47,13.0
STEW,11,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.5871559633027523,0.8,15,100,41,6.0
STEW,11,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,16,3.0
STEW,12,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,82,47,9.0
STEW,12,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.4545454545454546,0.7333333333333333,15,100,38,6.0
STEW,12,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.2990654205607476,0.6666666666666666,15,100,29,4.0
STEW,12,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,0.32432432432432434,0.6666666666666666,15,68,47,14.0
STEW,12,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.4736842105263158,0.7333333333333333,15,100,41,8.0
STEW,12,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,29,2.0
STEW,12,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,98,47,3.0
STEW,12,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,8.0
STEW,12,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,29,7.0
STEW,12,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,68,47,6.0
STEW,12,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,83,41,8.0
STEW,12,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,26,4.0
STEW,12,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,0.7272727272727273,0.8666666666666667,15,100,47,7.0
STEW,12,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,84,41,10.0
STEW,12,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,24,2.0
STEW,13,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,100,29,0.0
STEW,13,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,0.0
STEW,13,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,16,1.0
STEW,13,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,95,47,3.0
STEW,13,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,23,0.0
STEW,13,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,13,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,100,47,2.0
STEW,13,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,0.0
STEW,13,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,26,2.0
STEW,13,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,47,3.0
STEW,13,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,5.0
STEW,13,within,within_fold0,3,0.5,0.5,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,100,29,2.0
STEW,13,within,within_fold0,42,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,94,47,4.0
STEW,13,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,41,2.0
STEW,13,within,within_fold0,42,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,29,0.0
STEW,14,within,within_fold0,0,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,93,47,6.0
STEW,14,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,100,41,6.0
STEW,14,within,within_fold0,0,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,14,1.0
STEW,14,within,within_fold0,1,0.5,0.2,50,inf,4,False,4.0,workload,1.0,1.0,15,80,47,7.0
STEW,14,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,94,41,5.0
STEW,14,within,within_fold0,1,0.5,0.5,50,inf,4,False,4.0,workload,0.7321428571428572,0.8666666666666667,15,100,24,2.0
STEW,14,within,within_fold0,2,0.5,0.2,50,inf,4,False,4.0,workload,0.8648648648648649,0.9333333333333333,15,79,47,6.0
STEW,14,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,100,28,1.0
STEW,14,within,within_fold0,2,0.5,0.5,50,inf,4,False,4.0,workload,1.0,1.0,15,100,21,2.0
STEW,14,within,within_fold0,3,0.5,0.2,50,inf,4,False,4.0,workload,0.1964285714285714,0.6,15,73,47,7.0
