dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,n_components,include_riemann_arms,epoch_seconds,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,error
WAUC,9,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5034199726402189,0.7520661157024794,121,100,339,85.0,
WAUC,9,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.6036036036036037,0.8016528925619835,121,100,339,77.0,
WAUC,9,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.536144578313253,0.768595041322314,121,100,339,93.0,
WAUC,10,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5776997366110623,0.7891891891891892,185,100,516,106.0,
WAUC,10,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5244771585465591,0.7621621621621621,185,100,516,128.0,
WAUC,10,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.6003386465814211,0.8,185,100,516,118.0,
WAUC,10,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.31893881844212,0.6594594594594595,185,100,516,111.0,
WAUC,10,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.5897525676937442,0.7945945945945946,185,100,516,125.0,
WAUC,11,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.9039200614911607,0.952,125,100,347,21.0,
WAUC,11,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.9039200614911607,0.952,125,100,347,26.0,
WAUC,11,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.9520153550863724,0.976,125,100,347,19.0,
WAUC,11,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.967989756722151,0.984,125,100,347,20.0,
WAUC,11,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.9200255918106206,0.96,125,100,347,17.0,
WAUC,12,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.43115983843046735,0.7150537634408602,186,100,520,140.0,
WAUC,12,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5046317739694303,0.7526881720430108,186,100,520,132.0,
WAUC,12,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5482303955586398,0.7741935483870968,186,100,480,140.0,
WAUC,12,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.5263888888888889,0.7634408602150538,186,100,520,126.0,
WAUC,12,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.31095160916878906,0.6559139784946236,186,100,520,130.0,
WAUC,13,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.4294731579276295,0.7150837988826816,179,100,499,139.0,
WAUC,13,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.24510047134706026,0.6201117318435754,179,100,431,150.0,
WAUC,13,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4530772588389349,0.7262569832402235,179,100,499,136.0,
WAUC,13,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.2887122811374644,0.6424581005586593,179,100,499,183.0,
WAUC,13,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.4730347635452553,0.7374301675977654,179,100,499,139.0,
WAUC,14,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7000740557886942,0.85,180,100,503,78.0,
WAUC,14,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.6881188118811881,0.8444444444444444,180,100,503,88.0,
WAUC,14,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.6775389177168273,0.8388888888888889,180,100,503,98.0,
WAUC,14,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.6671597633136095,0.8333333333333334,180,100,503,110.0,
WAUC,14,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.6558105107327905,0.8277777777777777,180,100,503,85.0,
WAUC,15,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.48629277907185087,0.7431693989071039,183,100,423,125.0,
WAUC,15,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.3099299694738733,0.6557377049180327,183,78,510,136.0,
WAUC,15,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.35389862964514396,0.6775956284153005,183,100,459,116.0,
WAUC,15,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.2883637451390967,0.644808743169399,183,100,510,119.0,
WAUC,15,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.31067264573991027,0.6557377049180327,183,86,510,132.0,
WAUC,16,within,within_fold0,0,0.5,0.3,50,4,False,4.0,1.0,1.0,124,96,280,24.0,
WAUC,16,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.9361702127659575,0.9758064516129032,124,100,344,24.0,
WAUC,16,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.6851851851851851,0.8629032258064516,124,100,344,19.0,
WAUC,16,within,within_fold0,3,0.5,0.3,50,4,False,4.0,1.0,1.0,124,100,344,18.0,
WAUC,16,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.7802197802197802,0.9193548387096774,124,100,344,14.0,
WAUC,17,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.47784045124899277,0.75,144,100,403,103.0,
WAUC,17,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.6518936341659951,0.8333333333333334,144,100,403,105.0,
WAUC,17,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5618374558303887,0.7847222222222222,144,98,403,95.0,
WAUC,17,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.3434650455927052,0.6666666666666666,144,100,403,101.0,
WAUC,17,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.5317303902246748,0.7708333333333334,144,100,403,92.0,
WAUC,18,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.45944366526414215,0.7297297297297297,185,100,516,141.0,
WAUC,18,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.5358539004609371,0.7675675675675676,185,100,516,121.0,
WAUC,18,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.5359622003149973,0.7675675675675676,185,100,516,116.0,
WAUC,18,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.2638970157987126,0.6324324324324324,185,100,516,140.0,
WAUC,18,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.40521423978488347,0.7027027027027027,185,100,516,152.0,
WAUC,19,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.7174246898995865,0.8586956521739131,184,100,514,92.0,
WAUC,19,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.6639170398303087,0.8315217391304348,184,100,514,102.0,
WAUC,19,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.696333844158906,0.8478260869565217,184,100,514,91.0,
WAUC,19,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.6747200942840306,0.8369565217391305,184,100,514,107.0,
WAUC,19,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.5986795567083235,0.7989130434782609,184,100,514,95.0,
WAUC,20,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.4298438403701561,0.7150537634408602,186,100,519,160.0,
WAUC,20,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.23673563749855508,0.6182795698924731,186,100,519,182.0,
WAUC,20,within,within_fold0,2,0.5,0.3,50,4,False,4.0,0.4299757141205043,0.7150537634408602,186,100,519,159.0,
WAUC,20,within,within_fold0,3,0.5,0.3,50,4,False,4.0,0.34332677393216804,0.6720430107526881,186,74,493,149.0,
WAUC,20,within,within_fold0,42,0.5,0.3,50,4,False,4.0,0.2139631816602987,0.6075268817204301,186,100,519,152.0,
WAUC,21,within,within_fold0,0,0.5,0.3,50,4,False,4.0,0.5662368112543963,0.7837837837837838,185,100,429,114.0,
WAUC,21,within,within_fold0,1,0.5,0.3,50,4,False,4.0,0.35072531586335987,0.6756756756756757,185,100,518,162.0,
