dataset,subject,protocol,fold_name,seed,alpha,calibration_frac,window_size,per_round_cap,n_components,include_riemann_arms,epoch_seconds,context,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret
STEW,3,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,78,41,16.0
STEW,3,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.35897435897435903,0.6666666666666666,15,78,41,13.0
STEW,3,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.23728813559322037,0.6,15,78,41,15.0
STEW,3,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,60,41,4.0
STEW,3,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.34782608695652173,0.6666666666666666,15,60,41,9.0
STEW,3,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.4642857142857143,0.7333333333333333,15,60,41,10.0
STEW,3,within,within_fold0,3,2.0,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,60,41,16.0
STEW,3,within,within_fold0,42,0.1,0.3,50,inf,4,False,4.0,workload,0.736842105263158,0.8666666666666667,15,80,41,11.0
STEW,3,within,within_fold0,42,0.5,0.3,50,inf,4,False,4.0,workload,1.0,1.0,15,80,41,12.0
STEW,3,within,within_fold0,42,1.0,0.3,50,inf,4,False,4.0,workload,-0.05263157894736836,0.4666666666666667,15,80,41,14.0
STEW,3,within,within_fold0,42,2.0,0.3,50,inf,4,False,4.0,workload,0.6017699115044248,0.8,15,80,41,14.0
STEW,4,within,within_fold0,0,0.1,0.3,50,inf,4,False,4.0,workload,-0.09090909090909083,0.4666666666666667,15,88,36,16.0
STEW,4,within,within_fold0,0,0.5,0.3,50,inf,4,False,4.0,workload,0.03669724770642213,0.5333333333333333,15,88,41,14.0
STEW,4,within,within_fold0,0,1.0,0.3,50,inf,4,False,4.0,workload,0.2990654205607476,0.6666666666666666,15,88,41,10.0
STEW,4,within,within_fold0,0,2.0,0.3,50,inf,4,False,4.0,workload,0.2990654205607476,0.6666666666666666,15,88,41,9.0
STEW,4,within,within_fold0,1,0.1,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,44,41,12.0
STEW,4,within,within_fold0,1,0.5,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,44,36,13.0
STEW,4,within,within_fold0,1,1.0,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,44,26,11.0
STEW,4,within,within_fold0,1,2.0,0.3,50,inf,4,False,4.0,workload,0.15094339622641506,0.6,15,44,26,12.0
STEW,4,within,within_fold0,2,0.1,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,82,41,8.0
STEW,4,within,within_fold0,2,0.5,0.3,50,inf,4,False,4.0,workload,0.22413793103448265,0.6,15,82,41,12.0
STEW,4,within,within_fold0,2,1.0,0.3,50,inf,4,False,4.0,workload,0.22413793103448265,0.6,15,82,41,11.0
STEW,4,within,within_fold0,2,2.0,0.3,50,inf,4,False,4.0,workload,0.1964285714285714,0.6,15,82,41,12.0
STEW,4,within,within_fold0,3,0.1,0.3,50,inf,4,False,4.0,workload,0.8672566371681416,0.9333333333333333,15,61,41,3.0
STEW,4,within,within_fold0,3,0.5,0.3,50,inf,4,False,4.0,workload,0.5945945945945946,0.8,15,61,41,9.0
STEW,4,within,within_fold0,3,1.0,0.3,50,inf,4,False,4.0,workload,0.4642857142857143,0.7333333333333333,15,61,41,13.0
