dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,2.0,0.0,0.5,120,60,84,42.0,444.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.375,0.6875,48,46,134,71.0,202.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,86,134,74.0,163.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,84,134,65.0,167.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.1667,0.5833,48,42,134,64.0,178.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,4.0,0.375,0.6875,48,46,134,71.0,202.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,4.0,0.125,0.5625,48,86,134,74.0,163.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,4.0,0.125,0.5625,48,84,134,65.0,167.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,4.0,0.1667,0.5833,48,42,134,64.0,178.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,4.0,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,3.0,0.375,0.6875,48,46,134,71.0,202.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,3.0,0.125,0.5625,48,86,134,74.0,163.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,3.0,0.125,0.5625,48,84,134,65.0,167.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,3.0,0.1667,0.5833,48,42,134,64.0,178.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,3.0,0.0833,0.5417,48,76,134,67.0,180.0
BCI-IV-2b,3,within,within_fold0,0,1.0,1.0,pruned,0.3,True,2.0,-0.0833,0.4583,48,46,134,64.0,278.0
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,True,2.0,-0.2083,0.3958,48,86,134,63.0,278.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,True,2.0,0.1667,0.5833,48,84,134,75.0,278.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,True,2.0,0.0,0.5,48,42,134,77.0,278.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,True,2.0,0.0417,0.5208,48,76,134,73.0,278.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.1333,0.5667,120,16,84,29.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,120,96,84,42.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,-0.0333,0.4833,120,52,84,34.0,371.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,4.0,0.1333,0.5667,120,16,84,29.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,4.0,0.0833,0.5417,120,96,84,42.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,4.0,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,4.0,-0.0333,0.4833,120,52,84,34.0,371.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,4.0,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,3.0,0.1333,0.5667,120,16,84,29.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,3.0,0.0833,0.5417,120,96,84,42.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,3.0,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,3.0,-0.0333,0.4833,120,52,84,34.0,371.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,3.0,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,2.0,-0.0333,0.4833,120,16,0,0.0,
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,2.0,0.0167,0.5083,120,96,84,33.0,444.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,2.0,0.2167,0.6083,120,18,0,0.0,
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,2.0,0.0,0.5,120,52,84,43.0,444.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,2.0,-0.1,0.45,120,64,84,43.0,444.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.5769,0.7885,52,84,146,56.0,184.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,-0.1154,0.4423,52,82,146,62.0,191.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.0,0.5,52,90,146,64.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.2308,0.6154,52,70,146,51.0,186.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,4.0,0.5769,0.7885,52,84,146,56.0,184.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,4.0,-0.1154,0.4423,52,82,146,62.0,191.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,4.0,0.0,0.5,52,90,146,64.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,4.0,0.2308,0.6154,52,70,146,51.0,186.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,4.0,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,3.0,0.5769,0.7885,52,84,146,56.0,184.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,3.0,-0.1154,0.4423,52,82,146,62.0,191.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,3.0,0.0,0.5,52,90,146,64.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,3.0,0.2308,0.6154,52,70,146,51.0,186.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,3.0,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,2.0,-0.0385,0.4808,52,84,146,69.0,302.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,2.0,-0.0769,0.4615,52,82,146,61.0,302.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,2.0,-0.1154,0.4423,52,90,146,72.0,302.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,2.0,0.5,0.75,52,70,146,63.0,302.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,2.0,0.1154,0.5577,52,86,146,62.0,302.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,-0.0286,0.4857,140,86,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.5,0.75,140,84,84,36.0,442.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.5714,0.7857,140,100,84,37.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.1143,0.5571,140,76,84,33.0,441.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,4.0,-0.0286,0.4857,140,86,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,4.0,0.5,0.75,140,84,84,36.0,442.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,4.0,0.5714,0.7857,140,100,84,37.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,4.0,0.1143,0.5571,140,76,84,33.0,441.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,4.0,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,3.0,-0.0286,0.4857,140,86,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,3.0,0.5,0.75,140,84,84,36.0,442.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,3.0,0.5714,0.7857,140,100,84,37.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,3.0,0.1143,0.5571,140,76,84,33.0,441.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,3.0,0.0714,0.5357,140,86,84,32.0,441.0
