dataset,montage,feature_family,classifier,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
UAB,full,bandpower,decision_tree,2,3,42,0.8962516449463005,0.9308510638297872,751,188,14,
UAB,full,bandpower,random_forest,2,3,42,0.944135501124931,0.9627659574468084,751,188,14,
UAB,full,fbcsp,lda,2,4,42,0.8155897611799512,0.8770053475935828,752,187,14,
UAB,full,fbcsp,svm,2,4,42,0.8716650939349747,0.9144385026737968,752,187,14,
UAB,full,fbcsp,decision_tree,2,4,42,0.6711418032083727,0.7807486631016043,752,187,14,
UAB,full,fbcsp,random_forest,2,4,42,0.7994595058339052,0.8663101604278075,752,187,14,
UAB,full,bandpower,lda,2,4,42,0.9438534785965514,0.962566844919786,752,187,14,
UAB,full,bandpower,svm,2,4,42,0.9679162734837436,0.9786096256684492,752,187,14,
UAB,full,bandpower,decision_tree,2,4,42,0.8877310347785068,0.9251336898395722,752,187,14,
UAB,full,bandpower,random_forest,2,4,42,0.9438438438438438,0.962566844919786,752,187,14,
UAB,full,fbcsp,lda,3,0,42,0.9603041250105016,0.9735449735449736,753,189,14,
UAB,full,fbcsp,svm,3,0,42,0.9920624921254882,0.9947089947089948,753,189,14,
UAB,full,fbcsp,decision_tree,3,0,42,0.8571788413098237,0.9047619047619048,753,189,14,
UAB,full,fbcsp,random_forest,3,0,42,0.9444374448784176,0.9629629629629628,753,189,14,
UAB,full,bandpower,lda,3,0,42,0.9920621587568248,0.9947089947089948,753,189,14,
UAB,full,bandpower,svm,3,0,42,0.9761834754483976,0.984126984126984,753,189,14,
UAB,full,bandpower,decision_tree,3,0,42,0.8889168765743073,0.925925925925926,753,189,14,
UAB,full,bandpower,random_forest,3,0,42,0.944442111451728,0.9629629629629628,753,189,14,
UAB,full,fbcsp,lda,3,1,42,0.9841269841269842,0.9894179894179894,753,189,14,
UAB,full,fbcsp,svm,3,1,42,0.9841269841269842,0.9894179894179894,753,189,14,
UAB,full,fbcsp,decision_tree,3,1,42,0.9365079365079364,0.9576719576719576,753,189,14,
UAB,full,fbcsp,random_forest,3,1,42,0.9603174603174603,0.9735449735449736,753,189,14,
UAB,full,bandpower,lda,3,1,42,0.992063492063492,0.9947089947089948,753,189,14,
UAB,full,bandpower,svm,3,1,42,0.992063492063492,0.9947089947089948,753,189,14,
UAB,full,bandpower,decision_tree,3,1,42,0.9603174603174603,0.9735449735449736,753,189,14,
UAB,full,bandpower,random_forest,3,1,42,0.9841269841269842,0.9894179894179894,753,189,14,
UAB,full,fbcsp,lda,3,2,42,0.984042778933073,0.9893617021276596,754,188,14,
UAB,full,fbcsp,svm,3,2,42,0.9840434561195044,0.9893617021276596,754,188,14,
UAB,full,fbcsp,decision_tree,3,2,42,0.93616298811545,0.9574468085106383,754,188,14,
UAB,full,fbcsp,random_forest,3,2,42,0.9840434561195044,0.9893617021276596,754,188,14,
UAB,full,bandpower,lda,3,2,42,0.9920213894665364,0.9946808510638298,754,188,14,
UAB,full,bandpower,svm,3,2,42,0.9920210508445804,0.9946808510638298,754,188,14,
UAB,full,bandpower,decision_tree,3,2,42,0.9281955525377694,0.952127659574468,754,188,14,
UAB,full,bandpower,random_forest,3,2,42,0.9601069473326826,0.973404255319149,754,188,14,
UAB,full,fbcsp,lda,3,3,42,0.9920210508445804,0.9946808510638298,754,188,14,
UAB,full,fbcsp,svm,3,3,42,0.9920213894665364,0.9946808510638298,754,188,14,
UAB,full,fbcsp,decision_tree,3,3,42,0.9760621365816392,0.9840425531914894,754,188,14,
UAB,full,fbcsp,random_forest,3,3,42,0.9920210508445804,0.9946808510638298,754,188,14,
UAB,full,bandpower,lda,3,3,42,0.9920210508445804,0.9946808510638298,754,188,14,
UAB,full,bandpower,svm,3,3,42,1.0,1.0,754,188,14,
UAB,full,bandpower,decision_tree,3,3,42,0.9281864097449174,0.952127659574468,754,188,14,
UAB,full,bandpower,random_forest,3,3,42,0.9760641683996096,0.9840425531914894,754,188,14,
UAB,full,fbcsp,lda,3,4,42,0.9920213894665364,0.9946808510638298,754,188,14,
UAB,full,fbcsp,svm,3,4,42,0.9760651841792564,0.9840425531914894,754,188,14,
UAB,full,fbcsp,decision_tree,3,4,42,0.8962780630649747,0.9308510638297872,754,188,14,
UAB,full,fbcsp,random_forest,3,4,42,1.0,1.0,754,188,14,
UAB,full,bandpower,lda,3,4,42,0.9441378724849308,0.9627659574468084,754,188,14,
UAB,full,bandpower,svm,3,4,42,0.9680814940577248,0.9787234042553192,754,188,14,
UAB,full,bandpower,decision_tree,3,4,42,0.8962736609795433,0.9308510638297872,754,188,14,
UAB,full,bandpower,random_forest,3,4,42,0.9521263050674816,0.9680851063829788,754,188,14,
UAB,full,fbcsp,lda,4,0,42,0.984533205772144,0.9896907216494846,775,194,14,
UAB,full,fbcsp,svm,4,0,42,0.984533205772144,0.9896907216494846,775,194,14,
UAB,full,fbcsp,decision_tree,4,0,42,0.9458791646739996,0.963917525773196,775,194,14,
