dataset,baseline,subject,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,20,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,20,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,20,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,20,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,20,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,21,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,21,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,21,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,21,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,21,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,22,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,22,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,22,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,22,3,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,22,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,23,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,23,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,25,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,25,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,25,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,25,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,25,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,26,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,26,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,26,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,26,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,26,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,27,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,27,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,27,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,27,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,27,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,28,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,28,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,28,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,28,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,28,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,29,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,29,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,29,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,29,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,29,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,30,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,30,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,30,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,30,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,30,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,31,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,31,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,31,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,31,3,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,31,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,32,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,32,1,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,32,2,42,0.6086956521739131,0.8,59,15,14,
STEW,fbcsp,32,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,32,4,42,0.4285714285714286,0.7142857142857143,60,14,14,
STEW,fbcsp,33,0,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,33,1,42,0.5871559633027523,0.8,59,15,14,
STEW,fbcsp,33,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,33,3,42,0.4642857142857143,0.7333333333333333,59,15,14,
STEW,fbcsp,33,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,34,0,42,0.6017699115044248,0.8,59,15,14,
STEW,fbcsp,34,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,34,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,34,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,34,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,35,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,35,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,35,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,35,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,35,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,36,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,36,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,36,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,36,3,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,36,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,37,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,37,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,37,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,37,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,37,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,38,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,38,1,42,1.0,1.0,59,15,14,
STEW,fbcsp,38,2,42,1.0,1.0,59,15,14,
STEW,fbcsp,38,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,38,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,39,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,39,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
