dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,-0.0167,0.4917,120,90,84,36.0,386.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.2,0.6,120,52,84,35.0,400.0
BCI-IV-2b,1,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0167,0.5083,120,68,84,46.0,383.0
BCI-IV-2b,1,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0667,0.5333,120,60,84,44.0,397.0
BCI-IV-2b,1,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.25,0.625,120,88,84,47.0,387.0
BCI-IV-2b,1,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0167,0.5083,120,90,84,41.0,379.0
BCI-IV-2b,1,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0667,0.5333,120,52,84,38.0,392.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0167,0.5083,120,94,84,48.0,387.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.1333,0.4333,120,62,84,42.0,401.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.05,0.525,120,58,84,42.0,389.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.0167,0.4917,120,56,84,41.0,391.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,-0.05,0.475,120,94,84,42.0,392.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0,0.5,120,62,84,44.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0,0.5,120,58,84,44.0,383.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0,0.5,120,56,84,39.0,390.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0333,0.5167,120,60,84,47.0,389.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0333,0.5167,120,94,84,45.0,391.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,-0.0167,0.4917,120,62,84,46.0,399.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0167,0.5083,120,58,84,47.0,381.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0833,0.5417,120,56,84,35.0,395.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0333,0.5167,120,60,84,46.0,385.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.1667,0.5833,120,94,84,45.0,386.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.0167,0.5083,120,62,84,44.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.0,0.5,120,58,84,48.0,373.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,-0.0333,0.4833,120,56,84,33.0,395.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.0333,0.5167,120,60,84,45.0,371.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.1667,0.5833,120,94,84,43.0,386.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.0667,0.5333,120,62,84,50.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,-0.0167,0.4917,120,58,84,44.0,371.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.0167,0.5083,120,56,84,38.0,391.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.0333,0.5167,120,60,84,47.0,372.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.1667,0.5833,120,94,84,46.0,388.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.0167,0.5083,120,62,84,46.0,403.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.0,0.5,120,58,84,47.0,372.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.0833,0.5417,120,56,84,40.0,394.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.95,0.0167,0.5083,120,60,84,49.0,372.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.0167,0.5083,120,94,84,48.0,387.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,-0.1333,0.4333,120,62,84,42.0,401.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.05,0.525,120,58,84,42.0,389.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,-0.0167,0.4917,120,56,84,41.0,391.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,1.0,0.0333,0.5167,120,60,84,44.0,386.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,-0.05,0.475,120,94,84,42.0,392.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.0,0.5,120,62,84,44.0,404.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.0,0.5,120,58,84,44.0,383.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.0,0.5,120,56,84,39.0,390.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.99,0.0333,0.5167,120,60,84,47.0,389.0
BCI-IV-2b,2,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0333,0.5167,120,94,84,45.0,391.0
BCI-IV-2b,2,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,-0.0167,0.4917,120,62,84,46.0,399.0
BCI-IV-2b,2,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0167,0.5083,120,58,84,47.0,381.0
BCI-IV-2b,2,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0833,0.5417,120,56,84,35.0,395.0
BCI-IV-2b,2,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,100,0.95,0.0333,0.5167,120,60,84,46.0,385.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.1333,0.5667,120,16,84,29.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0833,0.5417,120,96,84,42.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.0333,0.4833,120,52,84,34.0,371.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,1.0,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,-0.0833,0.4583,120,16,84,29.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.1167,0.5583,120,96,84,41.0,381.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.1333,0.5667,120,52,84,41.0,374.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.99,0.2667,0.6333,120,64,84,39.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.05,0.525,120,16,84,26.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,-0.0167,0.4917,120,96,84,40.0,377.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0667,0.5333,120,18,84,38.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.15,0.575,120,52,84,35.0,370.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,inf,0.95,0.0333,0.5167,120,64,84,42.0,397.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,-0.0167,0.4917,120,16,84,28.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.1167,0.5583,120,96,84,46.0,377.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.1333,0.5667,120,52,84,31.0,367.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,1.0,0.15,0.575,120,64,84,37.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,-0.0833,0.4583,120,16,84,28.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.1167,0.5583,120,96,84,44.0,384.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,False,50,0.99,0.2167,0.6083,120,18,84,26.0,360.0
