dataset,subject,protocol,fold_name,budget_frac,alpha,arm_pool,calibration_frac,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,6,within,within_fold0,1.0,1.0,pruned,0.3,0.125,0.5625,48,70,134,62.0,179.0
BCI-IV-2b,6,within,within_fold0,1.0,2.0,pruned,0.3,0.0,0.5,48,70,134,54.0,183.0
BCI-IV-2b,6,within,within_fold0,1.0,5.0,pruned,0.3,0.0,0.5,48,70,134,62.0,186.0
BCI-IV-2b,6,official,official[0→1],1.0,0.1,pruned,0.3,0.1,0.55,120,72,84,26.0,363.0
BCI-IV-2b,6,official,official[0→1],1.0,0.5,pruned,0.3,0.1,0.55,120,72,84,28.0,367.0
BCI-IV-2b,6,official,official[0→1],1.0,1.0,pruned,0.3,-0.0833,0.4583,120,72,84,37.0,391.0
BCI-IV-2b,6,official,official[0→1],1.0,2.0,pruned,0.3,0.0167,0.5083,120,72,84,29.0,389.0
BCI-IV-2b,6,official,official[0→1],1.0,5.0,pruned,0.3,-0.1,0.45,120,72,84,42.0,388.0
BCI-IV-2b,7,within,within_fold0,1.0,0.1,pruned,0.3,0.0417,0.5208,48,98,134,71.0,277.0
BCI-IV-2b,7,within,within_fold0,1.0,0.5,pruned,0.3,0.25,0.625,48,98,134,66.0,158.0
BCI-IV-2b,7,within,within_fold0,1.0,1.0,pruned,0.3,0.0,0.5,48,98,134,69.0,201.0
BCI-IV-2b,7,within,within_fold0,1.0,2.0,pruned,0.3,0.0,0.5,48,98,134,70.0,192.0
BCI-IV-2b,7,within,within_fold0,1.0,5.0,pruned,0.3,0.0833,0.5417,48,98,134,68.0,195.0
BCI-IV-2b,7,official,official[0→1],1.0,0.1,pruned,0.3,0.2333,0.6167,120,40,84,34.0,360.0
BCI-IV-2b,7,official,official[0→1],1.0,0.5,pruned,0.3,0.2167,0.6083,120,40,84,35.0,419.0
BCI-IV-2b,7,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,40,84,38.0,381.0
BCI-IV-2b,7,official,official[0→1],1.0,2.0,pruned,0.3,0.2167,0.6083,120,40,84,36.0,376.0
BCI-IV-2b,7,official,official[0→1],1.0,5.0,pruned,0.3,-0.1,0.45,120,40,84,39.0,375.0
BCI-IV-2b,8,within,within_fold0,1.0,0.1,pruned,0.3,-0.1786,0.4107,56,48,157,75.0,306.0
BCI-IV-2b,8,within,within_fold0,1.0,0.5,pruned,0.3,-0.0714,0.4643,56,48,157,72.0,187.0
BCI-IV-2b,8,within,within_fold0,1.0,1.0,pruned,0.3,0.3571,0.6786,56,48,157,74.0,202.0
BCI-IV-2b,8,within,within_fold0,1.0,2.0,pruned,0.3,0.1429,0.5714,56,48,157,84.0,195.0
BCI-IV-2b,8,within,within_fold0,1.0,5.0,pruned,0.3,-0.0714,0.4643,56,48,157,84.0,207.0
BCI-IV-2b,8,official,official[0→1],1.0,0.1,pruned,0.3,0.2667,0.6333,120,64,112,45.0,360.0
BCI-IV-2b,8,official,official[0→1],1.0,0.5,pruned,0.3,0.1,0.55,120,64,112,51.0,382.0
BCI-IV-2b,8,official,official[0→1],1.0,1.0,pruned,0.3,-0.1833,0.4083,120,64,112,53.0,393.0
BCI-IV-2b,8,official,official[0→1],1.0,2.0,pruned,0.3,0.0667,0.5333,120,64,112,53.0,394.0
BCI-IV-2b,8,official,official[0→1],1.0,5.0,pruned,0.3,0.0167,0.5083,120,64,112,51.0,396.0
BCI-IV-2b,9,within,within_fold0,1.0,0.1,pruned,0.3,0.25,0.625,48,94,134,70.0,277.0
BCI-IV-2b,9,within,within_fold0,1.0,0.5,pruned,0.3,0.2917,0.6458,48,94,134,63.0,203.0
BCI-IV-2b,9,within,within_fold0,1.0,1.0,pruned,0.3,0.0833,0.5417,48,94,134,60.0,194.0
BCI-IV-2b,9,within,within_fold0,1.0,2.0,pruned,0.3,0.125,0.5625,48,94,134,67.0,187.0
BCI-IV-2b,9,within,within_fold0,1.0,5.0,pruned,0.3,0.1667,0.5833,48,94,134,69.0,187.0
BCI-IV-2b,9,official,official[0→1],1.0,0.1,pruned,0.3,-0.0167,0.4917,120,52,84,39.0,360.0
BCI-IV-2b,9,official,official[0→1],1.0,0.5,pruned,0.3,0.1833,0.5917,120,52,84,43.0,363.0
BCI-IV-2b,9,official,official[0→1],1.0,1.0,pruned,0.3,0.2167,0.6083,120,52,84,38.0,371.0
BCI-IV-2b,9,official,official[0→1],1.0,2.0,pruned,0.3,0.0833,0.5417,120,52,84,35.0,382.0
BCI-IV-2b,9,official,official[0→1],1.0,5.0,pruned,0.3,-0.1833,0.4083,120,52,84,44.0,379.0
