dataset,feature_family,classifier,subject,protocol,fold,seed,kappa,accuracy,n_train,n_test,n_channels,error
STEW,fbcsp,random_forest,3,within,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,lda,3,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,3,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,3,within,0,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,bandpower,random_forest,3,within,0,42,1.0,1.0,59,15,14,
STEW,fbcsp,lda,3,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,3,within,1,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,decision_tree,3,within,1,42,0.4736842105263158,0.7333333333333333,59,15,14,
STEW,fbcsp,random_forest,3,within,1,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,lda,3,within,1,42,0.6086956521739131,0.8,59,15,14,
STEW,bandpower,svm,3,within,1,42,0.48275862068965514,0.7333333333333333,59,15,14,
STEW,bandpower,decision_tree,3,within,1,42,0.33628318584070793,0.6666666666666666,59,15,14,
STEW,bandpower,random_forest,3,within,1,42,0.21052631578947367,0.6,59,15,14,
STEW,fbcsp,lda,3,within,2,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,3,within,2,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,decision_tree,3,within,2,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,fbcsp,random_forest,3,within,2,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,lda,3,within,2,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,svm,3,within,2,42,0.5945945945945946,0.8,59,15,14,
STEW,bandpower,decision_tree,3,within,2,42,0.03669724770642213,0.5333333333333333,59,15,14,
STEW,bandpower,random_forest,3,within,2,42,0.5945945945945946,0.8,59,15,14,
STEW,fbcsp,lda,3,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,3,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,decision_tree,3,within,3,42,0.4736842105263158,0.7333333333333333,59,15,14,
STEW,fbcsp,random_forest,3,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,lda,3,within,3,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,3,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,decision_tree,3,within,3,42,0.6017699115044248,0.8,59,15,14,
STEW,bandpower,random_forest,3,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,lda,3,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,svm,3,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,3,within,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,random_forest,3,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,lda,3,within,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,bandpower,svm,3,within,4,42,0.4285714285714286,0.7142857142857143,60,14,14,
STEW,bandpower,decision_tree,3,within,4,42,0.4285714285714286,0.7142857142857143,60,14,14,
STEW,bandpower,random_forest,3,within,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
STEW,fbcsp,lda,4,within,0,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,fbcsp,svm,4,within,0,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,decision_tree,4,within,0,42,0.6086956521739131,0.8,59,15,14,
STEW,fbcsp,random_forest,4,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,lda,4,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,svm,4,within,0,42,1.0,1.0,59,15,14,
STEW,bandpower,decision_tree,4,within,0,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,random_forest,4,within,0,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,lda,4,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,4,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,fbcsp,decision_tree,4,within,1,42,0.6017699115044248,0.8,59,15,14,
STEW,fbcsp,random_forest,4,within,1,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,lda,4,within,1,42,0.7321428571428572,0.8666666666666667,59,15,14,
STEW,bandpower,svm,4,within,1,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,decision_tree,4,within,1,42,0.22413793103448265,0.6,59,15,14,
STEW,bandpower,random_forest,4,within,1,42,0.48275862068965514,0.7333333333333333,59,15,14,
STEW,fbcsp,lda,4,within,2,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,svm,4,within,2,42,0.7272727272727273,0.8666666666666667,59,15,14,
STEW,fbcsp,decision_tree,4,within,2,42,0.5945945945945946,0.8,59,15,14,
STEW,fbcsp,random_forest,4,within,2,42,0.8648648648648649,0.9333333333333333,59,15,14,
STEW,bandpower,lda,4,within,2,42,0.5945945945945946,0.8,59,15,14,
STEW,bandpower,svm,4,within,2,42,0.5945945945945946,0.8,59,15,14,
STEW,bandpower,decision_tree,4,within,2,42,0.07079646017699115,0.5333333333333333,59,15,14,
STEW,bandpower,random_forest,4,within,2,42,0.4642857142857143,0.7333333333333333,59,15,14,
STEW,fbcsp,lda,4,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,svm,4,within,3,42,1.0,1.0,59,15,14,
STEW,fbcsp,decision_tree,4,within,3,42,0.6017699115044248,0.8,59,15,14,
STEW,fbcsp,random_forest,4,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,lda,4,within,3,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,svm,4,within,3,42,0.736842105263158,0.8666666666666667,59,15,14,
STEW,bandpower,decision_tree,4,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,bandpower,random_forest,4,within,3,42,0.8672566371681416,0.9333333333333333,59,15,14,
STEW,fbcsp,lda,4,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,svm,4,within,4,42,1.0,1.0,60,14,14,
STEW,fbcsp,decision_tree,4,within,4,42,0.8571428571428572,0.9285714285714286,60,14,14,
STEW,fbcsp,random_forest,4,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,lda,4,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,svm,4,within,4,42,1.0,1.0,60,14,14,
STEW,bandpower,decision_tree,4,within,4,42,0.7142857142857143,0.8571428571428571,60,14,14,
