dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,window_size,discount_gamma,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,1,official,official[0→1],3,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,0.0833,0.5417,120,90,84,48.0,379.0
BCI-IV-2b,1,official,official[0→1],42,1.0,0.5,pruned,0.3,False,inf,ts,,False,50,1.0,-0.05,0.475,120,52,84,47.0,423.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.2083,0.6042,48,48,134,78.0,199.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.125,0.5625,48,78,134,80.0,208.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.125,0.5625,48,54,134,70.0,188.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,-0.0833,0.4583,48,78,134,68.0,166.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,inf,1.0,0.0833,0.5417,48,86,134,69.0,157.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.125,0.5625,48,48,134,77.0,198.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,-0.2917,0.3542,48,78,134,72.0,212.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.1667,0.5833,48,54,134,72.0,167.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.125,0.5625,48,78,134,67.0,159.0
BCI-IV-2b,2,within,within_fold0,42,1.0,0.5,pruned,0.3,False,inf,oplb,,False,50,1.0,0.0,0.5,48,86,134,67.0,187.0
BCI-IV-2b,2,within,within_fold0,0,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,-0.0833,0.4583,48,48,134,72.0,164.0
BCI-IV-2b,2,within,within_fold0,1,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0833,0.5417,48,78,134,61.0,211.0
BCI-IV-2b,2,within,within_fold0,2,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.0417,0.5208,48,54,134,70.0,265.0
BCI-IV-2b,2,within,within_fold0,3,1.0,0.5,pruned,0.3,False,inf,ts,,False,inf,1.0,0.1667,0.5833,48,78,134,68.0,187.0
