dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,3,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,86,134,75.0,185.0
BCI-IV-2b,3,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.125,0.5625,48,84,134,70.0,162.0
BCI-IV-2b,3,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.1667,0.5833,48,42,134,61.0,172.0
BCI-IV-2b,3,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,-0.0833,0.4583,48,76,134,65.0,177.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.1333,0.5667,120,16,84,29.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,120,96,84,42.0,375.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.0667,0.5333,120,18,84,32.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,-0.0333,0.4833,120,52,84,34.0,371.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,-0.1,0.45,120,64,84,42.0,390.0
BCI-IV-2b,3,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.1333,0.5667,120,16,84,26.0,360.0
BCI-IV-2b,3,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.1,0.55,120,96,84,36.0,382.0
BCI-IV-2b,3,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.2167,0.6083,120,18,84,31.0,360.0
BCI-IV-2b,3,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,-0.0333,0.4833,120,52,84,35.0,372.0
BCI-IV-2b,3,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,-0.0833,0.4583,120,64,84,45.0,404.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.5769,0.7885,52,84,146,56.0,184.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,-0.1154,0.4423,52,82,146,62.0,191.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.0,0.5,52,90,146,64.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.2308,0.6154,52,70,146,51.0,186.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.4231,0.7115,52,86,146,60.0,206.0
BCI-IV-2b,4,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.5769,0.7885,52,84,146,56.0,186.0
BCI-IV-2b,4,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,-0.1923,0.4038,52,82,146,48.0,193.0
BCI-IV-2b,4,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.1538,0.5769,52,90,146,61.0,210.0
BCI-IV-2b,4,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.2308,0.6154,52,70,146,55.0,188.0
BCI-IV-2b,4,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.6154,0.8077,52,86,146,61.0,203.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,-0.0286,0.4857,140,86,84,36.0,432.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.5,0.75,140,84,84,36.0,442.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.5714,0.7857,140,100,84,37.0,431.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.1143,0.5571,140,76,84,33.0,441.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.0714,0.5357,140,86,84,32.0,441.0
BCI-IV-2b,4,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.4286,0.7143,140,86,84,40.0,426.0
BCI-IV-2b,4,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.0857,0.5429,140,84,84,29.0,439.0
BCI-IV-2b,4,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.6286,0.8143,140,100,84,33.0,432.0
BCI-IV-2b,4,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,0.5571,0.7786,140,76,84,34.0,441.0
BCI-IV-2b,4,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,0.7286,0.8643,140,86,84,33.0,442.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,-0.1154,0.4423,52,100,146,66.0,197.0
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,0.2692,0.6346,52,100,146,79.0,200.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.3846,0.6923,52,74,146,71.0,195.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.1154,0.5577,52,100,146,60.0,202.0
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0769,0.5385,52,68,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.1538,0.5769,52,100,146,56.0,203.0
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.1923,0.5962,52,100,146,69.0,189.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.3846,0.6923,52,74,146,59.0,198.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.4615,0.7308,52,100,146,58.0,186.0
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.2692,0.6346,52,68,146,70.0,207.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,0.3,0.65,140,100,84,36.0,443.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.3,0.65,140,84,84,39.0,442.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.1714,0.5857,140,46,84,40.0,436.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.1429,0.5714,140,76,84,41.0,458.0
BCI-IV-2b,5,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,0.0143,0.5071,140,70,84,36.0,442.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.4286,0.7143,140,100,84,39.0,442.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.2714,0.6357,140,84,84,37.0,445.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.3571,0.6786,140,46,84,39.0,429.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,0.0429,0.5214,140,76,84,35.0,453.0
BCI-IV-2b,5,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,0.3571,0.6786,140,70,84,37.0,438.0
BCI-IV-2b,6,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,-0.2917,0.3542,48,78,134,62.0,168.0
BCI-IV-2b,6,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,-0.0417,0.4792,48,92,134,53.0,178.0
BCI-IV-2b,6,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.5417,0.7708,48,80,134,60.0,192.0
BCI-IV-2b,6,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,-0.0417,0.4792,48,64,134,73.0,174.0
BCI-IV-2b,6,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.125,0.5625,48,70,134,62.0,179.0
BCI-IV-2b,6,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.375,0.6875,48,78,134,70.0,170.0
BCI-IV-2b,6,within,within_fold0,1,1.0,1.0,pruned,0.3,False,inf,0.2917,0.6458,48,92,134,63.0,180.0
BCI-IV-2b,6,within,within_fold0,2,1.0,1.0,pruned,0.3,False,inf,0.4167,0.7083,48,80,134,62.0,183.0
BCI-IV-2b,6,within,within_fold0,3,1.0,1.0,pruned,0.3,False,inf,0.0,0.5,48,64,134,58.0,175.0
BCI-IV-2b,6,within,within_fold0,42,1.0,1.0,pruned,0.3,False,inf,0.2917,0.6458,48,70,134,61.0,183.0
BCI-IV-2b,6,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,-0.0333,0.4833,120,80,84,36.0,384.0
BCI-IV-2b,6,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,0.0333,0.5167,120,72,84,39.0,396.0
BCI-IV-2b,6,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,120,78,84,37.0,382.0
BCI-IV-2b,6,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,0.2167,0.6083,120,80,84,42.0,378.0
BCI-IV-2b,6,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,-0.0833,0.4583,120,72,84,37.0,391.0
BCI-IV-2b,6,official,official[0→1],0,1.0,1.0,pruned,0.3,False,inf,0.0833,0.5417,120,80,84,34.0,389.0
BCI-IV-2b,6,official,official[0→1],1,1.0,1.0,pruned,0.3,False,inf,0.1167,0.5583,120,72,84,36.0,389.0
BCI-IV-2b,6,official,official[0→1],2,1.0,1.0,pruned,0.3,False,inf,0.4,0.7,120,78,84,40.0,388.0
BCI-IV-2b,6,official,official[0→1],3,1.0,1.0,pruned,0.3,False,inf,-0.15,0.425,120,80,84,39.0,375.0
BCI-IV-2b,6,official,official[0→1],42,1.0,1.0,pruned,0.3,False,inf,0.1,0.55,120,72,84,27.0,386.0
BCI-IV-2b,7,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,88,134,54.0,186.0
BCI-IV-2b,7,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,-0.0833,0.4583,48,98,134,59.0,172.0
BCI-IV-2b,7,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,0.0833,0.5417,48,62,134,65.0,201.0
BCI-IV-2b,7,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,0.1667,0.5833,48,52,134,63.0,182.0
BCI-IV-2b,7,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,0.0,0.5,48,98,134,69.0,201.0
BCI-IV-2b,7,within,within_fold0,0,1.0,1.0,pruned,0.3,False,inf,0.0833,0.5417,48,88,134,67.0,182.0
