dataset,subject,protocol,fold_name,seed,budget_frac,alpha,arm_pool,calibration_frac,include_recent_rewards,per_round_cap,policy,epsilon,online_heads,kappa,accuracy,n_test,n_arms_surviving,stream_rounds_run,final_regret,budget_remaining
BCI-IV-2b,5,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.1923,0.4038,52,100,146,70.0,191.0
BCI-IV-2b,5,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1923,0.5962,52,74,146,63.0,192.0
BCI-IV-2b,5,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1538,0.5769,52,100,146,61.0,202.0
BCI-IV-2b,5,within,within_fold0,42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.4231,0.7115,52,68,146,58.0,199.0
BCI-IV-2b,5,official,official[0→1],0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1286,0.5643,140,100,84,39.0,438.0
BCI-IV-2b,5,official,official[0→1],1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.0571,0.4714,140,84,84,41.0,450.0
BCI-IV-2b,5,official,official[0→1],2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1286,0.5643,140,46,84,39.0,435.0
BCI-IV-2b,5,official,official[0→1],3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1857,0.5929,140,76,84,41.0,458.0
BCI-IV-2b,5,official,official[0→1],42,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0714,0.5357,140,70,84,35.0,432.0
BCI-IV-2b,6,within,within_fold0,0,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.25,0.625,48,78,134,74.0,178.0
BCI-IV-2b,6,within,within_fold0,1,1.0,1.0,pruned,0.3,True,inf,oplb,,True,-0.125,0.4375,48,92,134,58.0,178.0
BCI-IV-2b,6,within,within_fold0,2,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.0,0.5,48,80,134,61.0,188.0
BCI-IV-2b,6,within,within_fold0,3,1.0,1.0,pruned,0.3,True,inf,oplb,,True,0.1667,0.5833,48,64,134,59.0,175.0
